;days;values;redimentos
0;2022-09-15;104.29;1.29
1;2022-08-15;105.44;1.35
2;2022-07-15;107.85;1.47
3;2022-06-15;108.19;1.45
4;2022-05-13;107.4;1.3
5;2022-04-14;109.0;1.35
6;2022-03-15;109.5;1.2
7;2022-02-15;109.48;1.25
8;2022-01-14;107.8;1.35
9;2021-12-15;103.82;1.15
10;2021-11-16;106.78;1.13
11;2021-10-15;108.8;1.11
12;2021-09-15;108.7;1.13
13;2021-08-16;108.2;1.02
14;2021-07-15;114.0;1.31
15;2021-06-15;112.3;1.59
16;2021-05-14;119.08;1.51
17;2021-04-15;115.41;1.15
18;2021-03-12;111.4;1.01
19;2021-02-12;111.25;0.9
20;2021-01-15;115.81;1.14
21;2020-12-15;106.96;1.19
22;2020-11-13;107.35;0.96
23;2020-10-15;107.75;0.8
24;2020-09-15;108.4;0.73
25;2020-08-14;109.37;0.76
26;2020-07-15;109.39;0.85
27;2020-06-15;109.42;0.67
28;2020-05-15;104.0;0.73
29;2020-04-15;103.9;0.72
30;2020-03-13;109.0;1.04
31;2020-02-14;116.69;1.15
32;2020-01-15;123.5;0.7
33;2019-12-13;122.74;0.59
34;2019-11-14;119.5;0.64
35;2019-10-15;121.0;0.72
36;2019-09-13;130.06;0.83
37;2019-08-15;129.97;0.89
38;2019-07-15;128.75;0.87
39;2019-06-14;116.44;0.96
40;2019-05-15;120.94;0.91
41;2019-04-15;116.2;0.92
42;2019-03-15;114.5;0.88
43;2019-02-15;113.44;1.0
44;2019-01-15;110.0;0.95
45;2019-01-15;110.0;0.95
46;2018-12-14;107.25;1.23
47;2018-11-14;108.0;1.16
48;2018-10-15;105.0;0.87
49;2018-09-14;105.0;0.9
50;2018-08-15;103.8;0.8
51;2018-07-13;103.21;0.75
52;2018-06-15;100.0;0.72
53;2018-05-15;102.35;0.65
54;2018-04-13;104.32;0.66
55;2018-03-15;104.31;0.56
56;2018-02-15;105.6;0.65
57;2018-01-15;107.47;0.65
58;2018-01-15;107.47;0.65
59;2017-12-15;104.84;0.65
60;2017-11-14;106.0;0.65
61;2017-10-13;107.75;0.6
62;2017-09-15;106.11;0.75
63;2017-08-15;110.5;0.8
64;2017-07-14;110.75;0.88
65;2017-06-14;111.91;0.92
66;2017-05-15;114.0;1.08
67;2017-04-13;113.0;1.1
68;2017-02-15;114.5;1.12
69;2016-12-15;112.3;1.17
70;2016-11-14;106.8;1.17
71;2016-10-14;116.68;1.3
72;2016-09-15;107.0;1.32
