;days;values;redimentos
0;2022-09-15;102.96;0.82
1;2022-07-14;100.0;0.61
2;2022-04-14;93.0;0.68
3;2022-03-15;88.79;0.64
4;2022-02-14;92.62;0.48
5;2022-01-14;91.01;0.56
6;2021-12-14;93.0;0.66
7;2021-11-16;95.5;0.53
8;2021-10-15;98.89;0.55
9;2021-09-15;98.0;0.42
10;2021-08-13;96.99;0.31
11;2021-07-15;97.1;0.3
12;2021-06-15;95.0;0.35
13;2021-05-14;85.11;0.32
14;2021-04-15;91.26;0.28
15;2021-03-15;91.42;0.28
16;2021-02-12;100.0;0.18
17;2021-01-15;99.99;0.26
18;2020-12-15;102.75;0.28
19;2020-11-13;100.0;0.22
20;2020-10-15;100.0;0.19
21;2020-09-15;99.93;0.28
22;2020-08-14;99.75;0.14
23;2020-07-15;99.0;0.16
24;2020-06-15;100.0;0.32
25;2020-05-15;100.22;0.33
26;2020-04-15;101.0;0.48
27;2020-03-13;100.0;0.342
28;2020-02-14;114.78;0.83632323
