;days;values;redimentos
0;2022-09-15;123.3;1.48470876
1;2022-07-14;117.01;1.4135559
2;2022-06-14;119.16;1.42852009
3;2022-05-13;117.0;1.41723424
4;2022-04-14;118.81;1.2244109
5;2022-03-15;124.0;1.24767133
6;2022-02-14;123.4;1.3055043
7;2022-01-14;126.97;1.27362336
8;2021-11-12;121.75;1.26240856
9;2021-10-14;122.79;1.01277204
10;2021-09-15;123.87;1.13129703
11;2021-08-13;126.3;1.133174182
12;2021-07-14;127.45;1.0218341266
13;2021-06-15;125.99;1.1492209429
14;2021-05-14;123.7;1.1153045143
15;2021-04-15;119.87;0.998878006
16;2021-03-12;121.48;1.0436307
17;2021-02-12;123.8;0.9783231714
18;2021-01-15;125.3;1.0478293714
19;2020-12-14;123.0;0.9983174857
20;2020-11-16;123.0;0.9112147857
21;2020-10-15;124.08;0.9459382286
22;2020-09-15;125.75;0.9359326143
23;2020-08-14;124.0;0.9699026857
24;2020-07-14;132.06;0.9591121714
25;2020-06-15;125.55;0.9759952
26;2020-05-15;124.99;0.9604435429
27;2020-04-15;123.99;0.8867552286
28;2020-03-13;122.09;0.8627989
29;2020-02-14;127.01;0.8353353143
30;2020-01-15;129.9;0.9212426429
31;2019-12-13;131.0;0.9441299429
32;2019-11-14;127.2;0.9327012857
33;2019-10-14;128.01;0.8903395286
34;2019-09-13;130.0;0.7669490714
35;2019-08-14;131.1;0.9126215714
36;2019-07-12;127.3;0.9385533571
37;2019-06-14;120.99;0.8970231429
38;2019-05-15;117.5;0.8894855571
39;2019-04-12;118.79;0.8499635543
40;2019-03-18;120.6;0.8404632115
41;2019-02-14;123.36;0.784263431
42;2019-01-15;137.0;0.7524184714
43;2018-12-14;121.0;0.8482576
44;2018-11-16;123.5;0.8521828714
45;2018-10-15;117.65;0.8760560429
46;2018-09-17;115.5;0.8609258476
47;2018-08-14;113.0;0.8385189762
48;2018-07-13;114.0;0.7886778429
49;2018-06-14;114.34;0.7966639286
50;2018-05-15;114.25;0.7583304429
51;2018-04-13;126.8;0.8297249571
52;2018-03-14;118.06;0.7794501571
53;2018-02-16;117.25;0.8239611714
54;2018-01-15;120.94;0.7453085774
55;2017-12-14;123.88;0.7559705101
56;2017-11-16;120.0;0.7993122315
57;2017-10-16;115.0;0.8200042315
58;2017-09-15;113.5;0.7647417458
59;2017-08-14;113.84;0.7628255315
60;2017-05-15;123.23;0.8059185173
61;2017-04-17;120.0;0.7861816655
62;2017-02-14;121.0;0.780078956
63;2017-01-13;117.2;0.71450908
64;2016-10-17;107.0;0.68939567
65;2016-09-15;106.0;0.66185885
