;days;values;redimentos
0;2022-09-14;109.9;0.7
1;2022-07-12;98.62;0.77
2;2022-06-10;99.0;0.65
3;2022-05-10;98.98;0.63
4;2022-04-07;99.94;0.63
5;2022-03-08;99.0;0.63
6;2022-02-07;99.55;0.63
7;2022-01-07;99.8;0.63
8;2021-12-07;94.65;0.6
9;2021-11-08;93.88;0.57
10;2021-10-07;100.42;0.57
11;2021-09-08;101.45;0.57
12;2021-08-06;106.1;0.57
13;2021-07-07;104.16;0.54
14;2021-06-08;113.2;0.54
15;2021-05-07;110.44;0.54
16;2021-04-08;110.83;0.54
17;2021-03-05;109.44;0.54
18;2021-02-05;114.1;0.55
19;2021-01-08;114.56;0.55
20;2020-12-07;115.89;0.55
21;2020-11-09;122.5;0.55
22;2020-10-07;123.0;0.55
23;2020-09-08;124.65;0.55
24;2020-08-07;124.0;0.55
25;2020-07-07;125.23;0.56
26;2020-06-05;124.6;0.5571
27;2020-05-08;115.0;0.565
28;2020-04-07;110.23;0.55
29;2020-03-06;125.5;0.55
30;2020-02-07;130.12;0.5578676199
