;days;values;redimentos
0;2022-09-15;95.85;0.95
1;2022-07-14;94.0;1.25
2;2022-06-14;95.13;1.25
3;2022-05-13;96.11;1.28
4;2022-04-14;96.79;1.25
5;2022-03-15;94.03;1.1
6;2022-02-14;91.78;1.05
7;2022-01-14;91.71;0.913797723
8;2021-12-14;91.09;0.9
9;2021-11-16;87.67;0.8
10;2021-10-15;92.5;0.75
11;2021-09-15;91.0;0.75
12;2021-08-13;90.99;0.75
13;2021-07-15;94.68;0.727877354
14;2021-06-15;92.05;0.7
15;2021-05-14;93.79;0.67
16;2021-04-15;92.31;0.65
17;2021-03-12;91.8;0.6
18;2021-02-12;88.51;0.57
19;2021-01-15;88.0;0.554263895
20;2020-12-14;83.84;0.55
21;2020-11-16;84.45;0.48
22;2020-10-15;82.9;0.35
23;2020-09-15;85.7;0.33
24;2020-08-14;86.58;0.249637535
25;2020-07-14;89.84;0.551896687
26;2020-06-15;93.0;0.42
27;2020-05-15;83.0;0.4
28;2020-04-15;88.9;0.4
29;2020-03-13;91.2;0.6055
30;2020-02-14;99.98;0.6055
31;2020-01-15;101.25;0.559121676
32;2019-12-13;100.51;0.534379895
33;2019-11-14;100.24;0.576
34;2019-10-14;100.95;0.583239563
35;2019-09-13;101.5;0.59
36;2019-08-14;102.1;0.594807
37;2019-07-15;101.35;0.65
38;2019-06-14;101.25;0.6163
39;2019-05-09;102.72;0.697
40;2019-04-12;113.3;0.696
