;days;values;redimentos
0;2018-01-10;12.5;
1;2018-01-12;13.4;
2;2018-01-30;13.2;
3;2018-01-31;13.2;
4;2018-02-27;13.26;
5;2018-03-02;13.26;
6;2018-03-06;13.26;
7;2018-03-20;13.12;
8;2018-03-22;13.12;
9;2018-03-27;13.35;
10;2018-04-02;13.19;
11;2018-04-05;13.19;
12;2018-04-27;13.41;
13;2018-05-07;13.41;
14;2018-05-10;13.55;
15;2018-05-14;13.55;
16;2018-05-18;13.55;
17;2018-05-25;13.55;
18;2018-06-04;13.55;
19;2018-06-05;13.41;
20;2018-06-06;13.55;
21;2018-06-08;13.6;
22;2018-06-12;13.6;
23;2018-06-13;13.6;
24;2018-06-28;13.55;
25;2018-06-29;13.6;
26;2018-07-04;13.61;
27;2018-07-05;13.61;
28;2018-07-11;13.61;
29;2018-07-13;13.61;
30;2018-07-18;13.61;
31;2018-07-20;13.61;
32;2018-07-23;13.61;
33;2018-07-27;13.61;
34;2018-07-31;13.61;
35;2018-08-24;13.65;
36;2018-09-06;13.59;
37;2018-09-11;13.41;
38;2018-09-20;13.41;
39;2018-09-24;13.6;
40;2018-09-26;13.6;
41;2018-10-03;13.6;
42;2018-10-19;13.5;
43;2018-10-22;13.2;
44;2018-10-23;13.3;
45;2018-10-24;12.9;
46;2018-10-25;13.6;
47;2018-10-26;13.6;
48;2018-10-30;13.6;
49;2018-10-31;13.6;
50;2018-11-06;13.62;
51;2018-11-07;13.62;
52;2018-11-08;13.62;
53;2018-11-09;13.62;
54;2018-11-12;13.62;
55;2018-11-14;13.61;
56;2018-11-21;13.61;
57;2018-11-22;13.61;
58;2018-11-29;13.61;
59;2018-11-30;13.61;
60;2018-12-05;13.61;
61;2018-12-06;13.61;
62;2018-12-19;13.74;
63;2018-12-20;13.95;
64;2018-12-28;13.95;
65;2019-01-02;13.95;
66;2019-01-08;13.93;
67;2019-01-23;13.87;
68;2019-01-24;13.61;
69;2019-01-28;13.95;
70;2019-01-30;13.95;
71;2019-01-31;13.95;
72;2019-02-05;14.1;
73;2019-02-19;13.97;
74;2019-02-20;13.99;
75;2019-02-21;13.99;
76;2019-02-22;14.68;
77;2019-02-28;14.68;
78;2019-03-06;14.0;
79;2019-03-07;13.99;
80;2019-03-08;13.2;
81;2019-03-11;13.5;
82;2019-03-12;13.97;
83;2019-03-13;13.93;
84;2019-03-14;13.97;
85;2019-03-15;13.97;
86;2019-03-18;13.97;
87;2019-03-19;13.5;
88;2019-03-20;13.5;
89;2019-03-22;14.68;
90;2019-03-28;15.41;
91;2019-03-29;14.7;
92;2019-04-02;14.51;
93;2019-04-03;14.7;
94;2019-04-04;15.8;
95;2019-04-05;15.8;
96;2019-04-08;15.4;
97;2019-04-09;15.4;
98;2019-04-10;15.4;
99;2019-04-16;14.7;
100;2019-04-17;14.7;
101;2019-04-18;13.5;
102;2019-04-22;14.5;
103;2019-04-23;13.57;
104;2019-04-24;13.88;
105;2019-04-25;13.87;
106;2019-04-26;13.87;
107;2019-04-29;14.5;
108;2019-04-30;14.7;
109;2019-05-08;14.7;
110;2019-05-10;14.7;
111;2019-05-15;12.01;
112;2019-05-16;14.0;
113;2019-05-17;14.0;
