;days;values;redimentos
0;2022-08-08;96.59;1.52
1;2022-07-08;101.33;1.38
2;2022-05-09;105.88;1.5
3;2022-04-08;107.6;1.44
4;2022-03-09;107.01;1.5
5;2022-02-08;106.39;1.5
6;2022-01-10;108.0;1.59
7;2021-12-08;103.15;1.51
8;2021-11-09;103.79;1.3
9;2021-10-08;104.99;1.18
10;2021-09-09;105.55;1.08
11;2021-08-09;106.58;1.1
12;2021-07-08;110.7;1.55
13;2021-06-09;110.92;1.08
14;2021-05-10;113.5;1.07
15;2021-04-09;112.0;1.07
16;2021-03-08;113.5;1.03
17;2021-02-08;117.9;0.96
18;2021-01-11;110.3;0.93
19;2020-12-08;105.9;0.88
20;2020-11-10;106.5;0.88
21;2020-10-08;106.8;0.87
22;2020-09-09;110.0;0.8
23;2020-08-10;107.4;0.6
24;2020-04-08;99.0;0.05
