;days;values;redimentos
0;2022-09-15;60.83;0.501800775
1;2022-07-14;58.72;0.49792181
2;2022-06-14;61.0;0.493494858
3;2022-05-13;61.7;0.485272463
4;2022-04-14;61.5;0.495593865
5;2022-03-15;55.3;0.487648521
6;2022-02-14;57.07;0.473711045
7;2022-01-14;57.78;0.428646078
8;2021-12-14;56.19;0.462248002
9;2021-11-16;54.11;0.462549176
10;2021-10-15;61.91;0.461807565
11;2021-09-15;63.03;0.460504913
12;2021-08-13;68.28;0.459601888
13;2021-07-15;69.99;0.458179992
14;2021-06-15;68.2;0.456071038
15;2021-05-14;68.8;0.436645545
16;2021-04-15;70.79;0.45383503
17;2021-03-12;70.88;0.456312962
18;2021-02-12;71.49;0.45868549
19;2021-01-15;70.2;0.522953198
20;2020-12-14;70.57;0.423747383
21;2020-11-16;71.32;0.314108474
22;2020-10-15;72.52;0.332987388
23;2020-09-15;81.33;0.57958341
24;2020-08-14;81.5;0.571540979
25;2020-07-14;89.78;0.569359028
26;2020-06-15;85.98;0.566873623
27;2020-05-15;74.9;0.528778529
28;2020-04-15;75.8;0.508847642
29;2020-03-13;81.95;0.561270653
30;2020-02-14;93.75;0.558642762
31;2020-01-15;99.01;0.568318589
32;2019-12-13;91.1;0.560599367
33;2019-11-14;90.82;0.57024173
34;2019-10-14;88.21;0.571274514
35;2019-09-13;86.5;0.571861963
36;2019-08-14;85.47;0.554152336
37;2019-07-15;82.27;0.55314226
38;2019-06-14;83.9;0.543569633
39;2019-05-15;85.03;0.546738919951357
40;2019-04-12;84.51;0.550141829909853
41;2019-03-18;84.5;0.549553895586045
42;2019-02-14;83.89;0.546330778940968
43;2019-01-15;82.74;0.551828483402508
44;2018-12-14;78.9;0.554432680360589
45;2018-11-16;79.0;0.55590004053542
46;2018-10-15;78.98;0.555944480794142
47;2018-09-17;77.99;0.556216640891427
48;2018-08-14;80.14;0.527008419911703
49;2018-07-16;80.17;0.534914919678184
50;2018-06-14;85.3;0.528081325287934
51;2018-05-15;90.0;0.524492073562975
52;2018-04-13;92.8;0.589137553863642
53;2018-03-14;90.93;0.529770402093743
54;2018-02-19;90.5;0.529504652761255
55;2018-01-15;90.0;0.519123129642848
56;2017-12-14;84.24;0.550554123597783
57;2017-11-16;86.0;0.437049340858822
58;2017-10-16;88.0;0.188485131872296
