;days;values;redimentos
0;2022-08-30;35.8;0.096423888
1;2022-07-28;32.98;0.100173854
2;2022-06-29;33.15;0.093709735
3;2022-05-30;34.69;0.093756073
4;2022-04-28;32.75;0.066799794
5;2022-03-30;34.27;0.061643103
6;2022-02-24;34.29;0.13319655
7;2022-01-28;33.15;0.141016869
8;2021-12-29;34.21;0.13
9;2021-11-29;34.98;0.09859592
10;2021-10-28;36.8;0.11
11;2021-09-29;38.0;0.15
12;2021-08-30;38.66;0.15
13;2021-07-29;39.9;0.06355555
14;2021-06-29;42.12;0.063480588
15;2021-05-28;42.78;0.071441845
16;2021-04-29;42.68;0.076498083
17;2021-03-30;43.59;0.099328594
18;2021-02-25;50.88;0.168633831
19;2021-01-28;53.86;0.19208725
20;2020-12-29;60.98;0.277023588
21;2020-11-27;65.49;0.194941008
22;2020-10-29;64.5;0.290711344
23;2020-09-29;64.71;0.232196963
24;2020-08-28;68.9;0.341233168
25;2020-07-30;65.48;0.136252983
26;2020-06-29;70.5;0.295516185
27;2020-05-28;71.1;0.165314937
28;2020-04-29;67.5;0.539360077
29;2020-03-30;61.72;0.111272639
30;2020-02-27;83.85;0.177154922
31;2020-01-30;89.0;0.192081625
32;2019-12-27;90.5;0.105160576
33;2019-11-28;83.7;0.190920414
34;2019-10-30;83.93;0.197173323
35;2019-09-27;83.4;0.263751942
36;2019-08-29;83.09;0.425070604
37;2019-07-30;88.0;0.226522388
38;2019-06-27;82.95;0.044704043
39;2019-05-30;76.0;0.0619
40;2019-04-29;76.28;0.114670658
41;2019-03-28;75.73;0.136588815182718
42;2019-02-27;76.2;0.210232469429495
43;2019-01-30;77.0;0.115780059866108
44;2018-12-27;79.72;0.0409334142127078
45;2018-11-30;84.5;0.077328929272818
46;2018-10-30;72.4;0.0628136799618072
47;2018-09-28;69.1;0.0403902384607873
48;2018-08-30;72.97;0.523972002354498
49;2018-07-30;79.0;0.222942014371121
50;2018-06-28;75.5;0.202205752110368
51;2018-05-29;77.2;0.237319289527364
52;2018-04-27;84.35;0.27193234682197
53;2018-03-28;91.99;0.330619290069875
54;2018-02-28;97.0;0.25386173
55;2018-01-30;100.98;0.296347991081116
56;2017-12-28;99.45;0.487191114480708
57;2017-11-30;100.01;0.295057204412786
58;2017-10-30;109.0;0.369553170842194
59;2017-08-28;101.3;0.397721002099518
60;2017-07-28;102.5;0.422280791578057
61;2017-06-29;107.55;0.414506579304284
62;2017-05-29;92.5;0.364440125075952
63;2017-04-28;94.78;0.36350612088234
64;2017-03-28;92.5;0.276663922464303
65;2017-02-24;95.0;0.518431817195434
66;2017-01-27;96.5;0.2572832024
67;2016-12-28;96.0;0.369376892
68;2016-11-30;86.1;0.404721588
69;2016-09-29;89.46;0.398563541
70;2016-08-26;90.5;0.524924231
