;days;values;redimentos
0;2022-09-19;73.55;0.62
1;2022-08-16;70.33;0.6
2;2022-07-18;68.54;0.6
3;2022-06-17;69.12;0.62
4;2022-05-17;69.24;0.6
5;2022-04-19;70.9;0.6
6;2022-03-16;68.3;0.63
7;2022-02-16;71.49;0.71
8;2022-01-18;70.0;0.61
9;2021-12-16;69.31;0.46
10;2021-11-18;69.8;0.52
11;2021-10-19;78.85;0.72
12;2021-09-17;79.14;0.7
13;2021-08-17;80.1;0.81
14;2021-07-19;82.66;0.8
15;2021-06-17;84.0;0.8
16;2021-05-18;82.6;0.82
17;2021-04-19;82.32;0.75
18;2021-03-16;82.11;0.8
19;2021-02-18;84.68;0.8
20;2021-01-19;80.95;0.96
21;2020-12-16;79.22;0.65
22;2020-11-18;79.45;0.6
23;2020-10-19;78.5;0.55
24;2020-09-17;78.02;0.5
25;2020-08-18;80.84;0.45
26;2020-07-16;81.8;0.4
27;2020-06-17;80.0;0.35
28;2020-05-19;75.4;0.3
29;2020-04-16;83.0;0.3
30;2020-03-17;82.6;0.58
31;2020-02-17;104.7;0.65
