;days;values;redimentos
0;2022-09-20;90.91;1.1
1;2022-08-17;89.87;1.1
2;2022-07-19;89.75;1.1
3;2022-06-20;91.92;1.12
4;2022-05-18;93.15;1.08
5;2022-04-20;93.95;1.1
6;2022-03-18;94.5;1.1
7;2022-02-17;96.33;1.1
8;2022-01-19;96.68;1.1
9;2021-12-17;94.96;1.0
10;2021-11-19;96.17;1.01
11;2021-10-20;98.26;1.0
12;2021-09-20;97.81;0.999
13;2021-08-18;98.23;1.01
14;2021-07-20;99.72;1.0
15;2021-06-18;100.6;1.0
16;2021-05-19;99.75;1.05
17;2021-04-20;102.1;1.01
18;2021-03-17;99.5;1.05
19;2021-02-19;99.95;1.05
20;2021-01-20;99.82;1.0
21;2020-12-17;99.9;1.05
22;2020-11-17;97.46;0.9
23;2020-10-20;99.03;0.72
24;2020-09-18;96.24;0.75
25;2020-08-19;94.18;0.72
26;2020-07-21;96.1;0.67
27;2020-06-22;98.75;0.65
28;2020-05-22;97.99;0.65
29;2020-04-23;97.3;0.65
30;2020-03-20;87.0;0.65
31;2020-02-14;108.23;0.65
32;2020-01-15;115.59;0.63
33;2019-12-13;109.6;0.65
34;2019-11-28;106.85;0.65
35;2019-11-14;109.49;0.65
36;2019-10-14;105.2;0.7
37;2019-09-13;105.97;0.75
38;2019-08-14;112.0;0.75
39;2019-07-12;108.49;0.8
40;2019-06-14;100.5;0.75
41;2019-05-15;99.9;0.67
42;2019-04-12;100.05;0.65
43;2019-03-18;101.0;0.65
44;2019-02-14;101.65;0.65
45;2019-01-15;102.5;1.15
46;2018-12-14;101.5;0.8
47;2018-11-16;101.6;0.8
48;2018-10-15;99.87;0.78
49;2018-09-14;99.79;0.8
50;2018-08-14;98.9;0.85
51;2018-07-13;99.05;0.8
52;2018-06-14;97.81;0.7
53;2018-05-15;99.55;0.8
54;2018-04-13;98.5;0.75
55;2018-03-14;98.5;0.7
56;2018-02-16;98.72;0.72
57;2018-01-15;98.6;0.72
58;2017-12-14;98.7;0.85
59;2017-11-16;98.11;0.75
60;2017-09-14;99.7;0.72
61;2017-08-14;98.4;0.85
62;2017-07-14;98.23;0.8
63;2017-06-14;98.4;0.7
64;2017-05-15;99.97;1.0
65;2017-04-17;99.99;1.1
66;2017-03-14;100.0;1.05
67;2017-02-14;100.0;1.0
68;2017-01-13;100.89;0.8
69;2017-01-13;100.89;0.65
70;2016-12-14;100.5;0.9
71;2016-11-16;102.0;0.81
72;2016-10-17;104.0;1.25
73;2016-09-15;103.98;1.3
