;days;values;redimentos
0;2021-07-16;23.32;0.01
1;2021-07-08;23.22;0.09
2;2021-06-09;23.59;0.05
3;2021-05-10;26.64;0.05
4;2021-04-09;28.99;0.05
5;2021-03-08;29.97;0.05
6;2021-02-11;36.0;0.1
7;2021-01-11;40.87;0.15
8;2020-12-08;45.0;0.35
9;2020-11-10;45.77;0.38
10;2020-10-08;47.96;0.38
11;2020-09-09;47.95;0.38
12;2020-08-10;46.45;0.38
13;2020-07-08;49.35;0.38
14;2020-06-08;53.46;0.38
15;2020-05-11;46.7;0.38
16;2020-04-08;48.25;0.38
17;2020-03-09;53.99;0.38
18;2020-02-10;58.2;0.38
19;2020-01-09;59.65;0.3635
20;2019-12-09;59.66;0.3635
21;2019-11-08;58.99;0.3626
22;2019-10-08;57.3;0.3717
23;2019-09-09;55.57;0.360129
24;2019-08-08;57.57;0.37166212
25;2019-07-08;60.87;0.37171
26;2019-06-10;61.64;0.3327625
27;2019-05-09;62.0;0.3696
28;2019-04-08;61.65;0.415182
29;2019-03-12;60.09;0.41916
30;2019-02-08;59.96;0.413
31;2019-01-09;4.17;0.3836
32;2018-12-10;4.06;0.3836
33;2018-11-09;4.07;0.3836
34;2018-10-08;4.03;0.3836
35;2018-09-11;4.05;0.3836
36;2018-08-08;4.07;0.3836
37;2018-07-10;4.05;0.3836
38;2018-06-08;4.06;0.3836
39;2018-05-09;4.26;0.3836
40;2018-04-09;4.05;0.3836
41;2018-03-08;4.09;0.2158595895044442
42;2018-02-08;4.21;0.2158595895044442
43;2018-01-09;4.23;0.4818294408581346
44;2017-12-08;4.84;0.4818294408581346
45;2017-11-09;4.85;0.4818294408581346
46;2017-10-09;4.7;0.4818294408581346
47;2017-09-11;4.25;0.4779748053312694
48;2017-05-09;4.27;0.458701628
49;2017-04-10;4.09;0.50110256
50;2017-03-08;4.07;0.43171912
51;2017-02-08;3.95;0.4799021234
52;2017-01-09;3.7;0.466410896
53;2016-12-08;3.7;0.45291974
54;2016-11-08;3.7;0.45484698
55;2016-10-10;3.72;0.4587016
56;2016-09-09;3.78;0.46641084
