;days;values;redimentos
0;2022-08-25;122.32;0.874870619
1;2022-07-25;113.45;0.875154944
2;2022-05-25;121.0;0.818026649
3;2022-04-25;116.14;0.856877781
4;2022-03-25;112.32;0.823176004
5;2022-02-25;110.0;0.825602381
6;2022-01-25;111.01;0.815195759
7;2021-12-23;101.87;0.751505082
8;2021-11-25;97.81;0.741544975
9;2021-10-25;104.6;0.727421895
10;2021-09-24;110.62;0.751957648
11;2021-08-25;110.6;0.748278847
12;2021-07-23;111.95;0.696550253
13;2021-06-25;105.0;0.64
14;2021-05-25;111.5;0.623730372
15;2021-04-23;110.0;0.61
16;2021-03-25;109.95;0.61
17;2021-02-25;111.58;0.56
18;2021-01-22;112.62;0.55
19;2020-12-23;118.7;0.54
20;2020-11-25;118.85;0.548294394
21;2020-10-23;117.27;0.555149432
22;2020-09-25;115.69;0.565107527
23;2020-08-25;111.13;0.563476587
24;2020-07-24;106.5;0.578911615
25;2020-06-25;107.1;0.511902748
26;2020-05-25;108.6;0.5
27;2020-04-24;104.83;0.52
28;2020-03-25;110.0;0.577
29;2020-02-21;137.29;0.58
30;2020-01-24;138.0;0.290648191
31;2019-12-23;133.9;0.621489422
32;2019-11-25;126.17;0.64877023
33;2019-10-25;123.28;0.644204592
34;2019-09-25;2391.0;0.6144134371
35;2019-08-23;2355.0;0.60696556285
36;2019-07-25;2349.0;0.61470200595
37;2019-06-25;2444.0;0.60139420055
38;2019-05-24;2189.99;0.5772754341
39;2019-04-25;2090.0;0.572751766467065
40;2019-03-25;2100.0;0.58257621556886
41;2019-02-25;2090.0;0.580963748502995
42;2019-01-24;2050.0;0.584207931137725
43;2018-12-21;1950.0;0.580640613772455
44;2018-11-23;1965.0;0.564022311377245
45;2018-10-25;1869.95;0.5468250569
46;2018-09-25;1849.0;0.52487563473054
47;2018-08-24;1840.0;0.576344185628745
48;2018-07-25;1830.0;0.535372721556885
49;2018-06-25;1815.0;0.53723378742515
50;2018-05-25;2000.0;0.541224859281435
51;2018-04-25;2155.0;0.53408336526946
52;2018-03-23;2249.99;0.529783383233535
53;2018-02-23;2189.99;0.53561028443114
54;2018-01-24;2245.0;0.52751213473054
55;2017-12-22;2150.0;0.54032536526946
56;2017-11-24;2240.0;0.57797081736527
57;2017-10-25;2236.0;0.57831099700599
58;2017-09-25;2280.0;0.558896398203595
59;2017-08-25;2080.0;0.538642871257485
60;2017-07-25;2105.0;0.57031698502994
61;2017-06-23;1899.0;0.56046819760479
62;2017-05-25;1859.0;0.565101643712575
63;2017-03-24;2005.0;0.546631095808385
64;2017-02-24;1849.9;0.55511976047904
65;2017-01-26;1737.51;0.508196218565
66;2016-12-23;1670.0;0.534295302395
67;2016-11-25;1705.0;0.52385986525
68;2016-10-25;1686.0;0.52829758685
69;2016-09-23;1732.0;0.52760973055
