;days;values;redimentos
0;2022-09-15;88.22;0.9
1;2022-07-14;86.6;1.197520015
2;2022-06-14;86.65;1.15
3;2022-05-13;90.2;1.1
4;2022-04-14;91.0;1.05
5;2022-03-15;86.01;1.0
6;2022-02-14;87.15;0.95
7;2022-01-14;87.77;0.934541102
8;2021-12-14;83.87;0.92
9;2021-11-16;82.96;0.82
10;2021-10-15;85.0;0.75
11;2021-09-15;88.61;0.7
12;2021-08-13;86.85;0.7
13;2021-07-15;90.47;0.661401305
14;2021-06-15;92.5;0.72
15;2021-05-14;94.03;0.98
16;2021-04-15;94.6;1.02
17;2021-03-12;95.0;0.78
18;2021-02-12;95.12;0.75
19;2021-01-15;94.34;0.55228658
20;2020-12-14;88.66;0.53
21;2020-11-16;92.37;0.47
22;2020-10-15;96.9;0.45
23;2020-09-15;100.93;0.5
24;2020-08-14;102.42;0.6
25;2020-07-14;107.0;1.15
26;2020-06-15;106.9;0.8
27;2020-05-15;103.82;0.85
28;2020-04-15;89.55;0.95
29;2020-03-13;101.6;0.7
30;2020-02-14;109.35;0.7
31;2020-01-15;114.65;0.64
32;2019-12-13;114.24;0.6
33;2019-11-14;113.7;0.6
34;2019-10-14;111.11;0.65
35;2019-09-13;113.05;0.7
36;2019-08-14;112.0;0.79
37;2019-07-15;118.4;0.836487134
38;2019-06-14;115.3;0.96
39;2019-05-15;111.0;0.83
40;2019-04-12;107.3;0.74
41;2019-03-18;105.9;0.48
42;2019-02-14;103.66;0.46
43;2019-01-15;103.68;0.62
44;2018-12-14;105.5;0.85
45;2018-11-16;110.75;0.85
46;2018-10-15;106.69;0.85
47;2018-09-17;105.18;1.05
48;2018-08-14;108.5;1.01
49;2018-07-16;106.0;0.941763987736779
50;2018-06-14;103.5;0.82
51;2018-05-15;107.25;0.76
52;2018-04-13;108.5;0.75
53;2018-03-14;106.49;0.85
54;2018-02-16;103.7;0.9
55;2018-01-15;102.65;0.68
56;2017-12-14;98.6;0.65
57;2017-11-16;96.0;0.65
58;2017-10-16;96.19;0.45
59;2017-09-15;97.15;0.33
60;2017-08-14;92.02;0.29
61;2017-07-14;90.99;0.24
62;2017-06-14;90.0;0.37
63;2017-05-15;92.2;0.55
64;2017-03-14;107.2;0.81
65;2017-02-14;106.5;0.8
66;2017-01-13;103.95;0.6803179267
67;2016-12-14;106.5;0.83
68;2016-11-16;100.0;0.82
69;2016-10-17;108.8;0.9
70;2016-09-15;111.09;1.12
