;days;values;redimentos
0;2022-09-15;55.12;0.37
1;2022-07-14;47.37;0.4
2;2022-06-14;48.36;0.37
3;2022-05-13;50.1;0.37
4;2022-04-14;53.6;0.37
5;2022-03-15;51.13;0.37
6;2022-02-14;53.74;0.37
7;2022-01-14;55.75;0.37
8;2021-12-14;53.85;0.32
9;2021-11-16;50.23;0.3
10;2021-10-15;56.16;0.3
11;2021-09-15;56.07;0.3
12;2021-08-13;60.67;0.25
13;2021-07-15;64.88;0.29
14;2021-06-15;64.45;0.15
15;2021-05-14;58.22;0.1
16;2021-04-15;58.22;0.1
17;2021-03-12;61.3;0.29
18;2021-02-12;65.01;0.29
19;2021-01-15;68.37;0.4
20;2020-12-14;62.99;0.25
21;2020-11-16;63.35;0.15
22;2020-10-15;63.5;0.15
23;2020-09-15;62.98;0.05
24;2020-07-14;60.1;0.1
25;2020-06-15;65.83;0.05
26;2020-05-15;56.2;0.05
27;2020-04-15;59.02;0.1
28;2020-03-13;67.5;0.39
29;2020-02-14;84.46;0.39
30;2020-01-15;93.05;1.92
31;2019-09-13;66.5;0.13
32;2019-08-14;65.51;0.2720628586
33;2019-07-15;63.89;0.1408605149
34;2019-06-14;66.6;0.3973955
35;2019-05-15;65.98;0.5513545
36;2019-05-15;65.98;0.5513545
37;2019-04-12;67.96;0.833333333333333
38;2019-03-18;66.32;0.833333333333333
39;2019-02-14;60.55;0.833333333333333
40;2019-01-15;61.0;0.833333333333333
41;2018-12-14;69.4;0.833333333333333
42;2018-11-16;68.78;0.833333333333333
43;2018-10-15;67.2;0.833333333333333
44;2018-09-17;67.0;0.833333333333333
45;2018-08-14;66.95;0.833333333333333
46;2018-07-16;69.0;0.833333333333333
47;2018-06-14;67.0;0.833333333333333
48;2018-05-15;81.95;0.833333333333333
49;2018-04-13;97.06;0.833333333333333
50;2018-03-14;96.62;0.833333333333333
51;2018-02-16;94.95;0.833333333333333
52;2018-01-15;92.57;0.833333333333333
53;2018-01-15;92.57;0.833333333333333
54;2017-12-14;91.0;0.833333333333333
55;2017-11-16;91.81;0.833333333333333
56;2017-10-16;87.0;0.833333333333333
57;2017-09-15;79.51;0.833333333333333
58;2017-08-14;79.03;0.833333333333333
59;2017-07-14;75.94;0.833333333333333
60;2017-06-14;67.5;0.833333333333333
61;2017-06-14;67.5;0.833333333333333
62;2017-05-15;67.18;0.833333333333333
63;2017-04-17;67.0;0.833333333333333
64;2017-02-14;69.4;0.833333333333333
65;2017-01-13;69.99;0.833333333333333
66;2016-12-14;64.04;0.833333333333333
67;2016-11-16;64.45;0.833333333333333
68;2016-10-17;65.4;0.833333333333333
69;2016-09-15;64.0;0.833333333333333
