;days;values;redimentos
0;2022-09-15;133.51;0.89
1;2022-07-14;113.49;0.85
2;2022-06-14;115.41;0.8
3;2022-05-13;116.51;0.83
4;2022-04-14;123.88;0.72
5;2022-03-15;116.87;0.67
6;2022-02-14;117.95;0.73
7;2022-01-14;119.98;0.8
8;2021-12-14;122.29;0.47
9;2021-11-16;120.99;0.6
10;2021-10-15;130.98;0.58
11;2021-09-15;128.5;0.6
12;2021-08-13;134.0;0.48
13;2021-07-14;135.64;0.5
14;2021-06-15;136.11;0.4
15;2021-05-14;2.94;0.335
16;2021-04-15;2.83;0.59
17;2021-03-12;2.74;0.595
18;2021-02-12;2.98;0.515
19;2021-01-15;2.98;0.46
20;2020-12-14;3.01;0.37
21;2020-11-16;3.08;0.35
22;2020-10-15;2.99;0.365
23;2020-09-15;3.1;0.28
24;2020-08-14;3.14;0.39
25;2020-07-15;3.18;0.28
26;2020-06-15;3.37;0.07
27;2020-05-15;3.27;0.39
28;2020-04-15;3.01;0.705
29;2020-03-13;3.42;0.595
30;2020-02-14;3.95;0.645
31;2020-01-15;4.21;0.78
32;2019-12-13;4.9;0.79
33;2019-11-14;5.25;0.81
34;2019-10-14;4.51;0.755
35;2019-09-13;4.18;0.69
36;2019-08-14;4.19;0.8
37;2019-07-15;3.7;0.77
38;2019-06-14;3.54;0.745
39;2019-05-15;3.54;0.71
40;2019-04-12;3.2;0.745
41;2019-03-18;2.96;0.555
42;2019-02-14;2.83;0.665
43;2019-01-15;2.95;0.725
44;2018-12-14;2.51;0.765
45;2018-11-16;2.44;0.685
46;2018-10-15;2.31;0.72
47;2018-09-17;2.29;0.61
48;2018-08-14;2.31;0.655
49;2018-07-16;2.39;0.695
50;2018-06-14;2.3;0.62
51;2018-05-15;2.5;0.7
52;2018-04-13;2.67;0.555
53;2018-03-14;2.6;0.5
54;2018-02-16;2.63;0.535
55;2018-01-15;2.64;0.61
56;2017-12-14;2.76;0.53
57;2017-11-16;2.5;0.545
58;2017-10-16;2.41;0.655
59;2017-09-15;2.42;0.49
60;2017-08-14;2.33;0.585
61;2017-07-14;2.22;0.65
62;2017-06-14;2.18;0.56
63;2017-05-15;2.17;0.59
64;2017-04-17;2.28;0.525
65;2017-03-14;2.27;0.74
66;2017-02-14;2.29;0.545
67;2016-12-14;2.21;0.62
68;2016-11-16;2.22;0.575
69;2016-10-17;2.24;0.65
70;2016-09-22;2.21;0.62
