;days;values;redimentos
0;2022-08-31;1580.0;10.0
1;2022-06-30;1430.01;11.0
2;2022-05-31;1329.0;9.5
3;2022-04-29;1269.0;10.0
4;2022-03-31;1229.69;10.0
5;2022-02-25;1222.05;8.0
6;2022-01-31;1210.0;8.517709912
7;2021-12-30;1259.99;6.7
8;2021-10-29;1250.0;6.0
9;2021-09-30;1305.0;6.5
10;2021-08-31;1298.0;5.0
11;2021-07-30;1298.0;4.402724276
12;2021-06-30;1317.86;4.54
13;2021-05-31;1300.0;4.0
14;2021-04-30;1310.0;5.646660381
15;2021-03-31;1283.27;5.646660381
16;2021-02-26;1305.0;6.73
17;2021-01-29;1305.48;6.23068034
18;2020-12-30;1310.03;3.765500674
19;2020-11-30;1322.0;3.353797982
20;2020-10-30;1348.33;2.84764824
21;2020-09-30;1361.11;1.743608045
22;2020-08-31;1356.12;4.960249182
23;2020-07-31;1399.99;22.648378667
24;2020-02-28;1580.0;13.515902031
25;2020-01-27;1589.0;8.171892167
26;2019-12-30;1725.0;7.73424977
27;2019-11-28;1489.34;7.255067625
28;2019-10-25;1459.99;6.387468769
29;2019-09-27;1479.0;6.18650087
30;2019-08-27;1405.0;6.284677955
31;2019-07-26;1301.0;7.406320231
32;2019-06-27;1281.01;3.871649817
33;2019-05-27;1271.03;4.958275843
34;2019-04-26;1319.75;5.908644305
35;2019-03-27;1295.75;8.44179113321722
36;2019-02-27;1270.0;14.045909
37;2019-01-29;1270.0;9.051743
38;2018-12-28;1240.01;7.681200193
39;2018-11-30;1279.63;5.6318599
40;2018-10-31;1250.0;5.59948986
41;2018-09-28;1299.0;6.39380653965632
42;2018-06-29;1210.0;5.12049841097589
43;2018-05-30;1220.02;9.21141287497093
44;2018-04-27;1255.0;7.87881637082397
45;2018-03-27;1290.55;7.07697988528021
46;2018-02-28;1188.0;11.1620684443066
47;2017-12-28;1099.31;2.87513719866677
48;2017-09-29;1060.0;5.841008061
49;2017-07-31;1055.0;5.580550625
50;2017-06-30;1049.0;4.53627520833333
51;2017-05-31;1040.01;5.216125
52;2017-04-28;1080.0;5.17278083333333
53;2017-03-01;979.0;13.227998125
54;2017-01-31;850.02;6.28780375
55;2016-10-28;840.0;4.889247292
56;2016-09-30;766.02;4.733128542
