;days;values;redimentos
0;2021-01-15;70.01;0.64
1;2021-01-15;70.01;0.65
2;2020-07-17;94.99;0.43
3;2020-01-17;106.5;0.27
4;2019-12-17;100.01;0.26
5;2019-07-18;87.5;0.45
6;2019-01-18;89.49;1.03
7;2018-12-19;86.93;0.25
8;2018-11-19;87.99;0.25
9;2018-10-17;79.0;0.25
10;2018-09-18;86.74;0.25
11;2018-07-18;80.0;0.27
12;2018-06-19;93.0;0.25
13;2018-04-18;107.0;0.27
14;2018-01-17;110.0;0.46
15;2017-12-19;106.5;0.2
16;2017-09-19;108.51;0.24
17;2017-07-19;108.0;0.29
18;2017-04-19;104.94;0.24
19;2017-03-17;109.49;0.21
20;2017-02-17;110.0;0.25
21;2017-01-18;105.0;0.12
22;2016-12-19;103.0;0.25
23;2016-11-18;101.0;0.23
