;days;values;redimentos
0;2022-09-15;212.0;1.6
1;2022-07-14;196.83;1.6
2;2022-06-14;200.0;1.63
3;2022-05-13;213.0;1.58
4;2022-04-14;218.0;1.53
5;2022-03-15;216.99;1.45
6;2022-02-14;218.0;1.45
7;2022-01-14;210.0;1.45
8;2021-12-14;216.99;1.3
9;2021-11-16;205.0;1.2
10;2021-10-15;204.0;1.2
11;2021-09-15;221.0;1.2
12;2021-08-13;238.01;1.2
13;2021-07-15;240.07;1.6
14;2021-06-15;249.48;1.2
15;2021-05-14;264.0;1.2
16;2021-04-15;269.99;1.2
17;2021-03-12;270.01;1.2
18;2021-02-12;292.63;1.15
19;2021-01-15;303.5;1.85
20;2020-12-14;294.14;1.55
21;2020-11-16;307.0;1.5
22;2020-10-15;312.0;3.33
23;2020-09-15;317.09;1.5
24;2020-08-14;315.0;1.6
25;2020-07-15;319.99;1.9
26;2020-06-15;329.01;1.7
27;2020-05-15;333.0;1.65
28;2020-04-14;320.0;1.55
29;2020-03-13;359.0;1.7
30;2020-02-14;395.0;1.7
31;2020-01-15;404.0;2.4
32;2019-12-13;384.06;1.9
33;2019-11-14;398.0;1.85
34;2019-10-14;400.0;2.4
35;2019-09-13;393.8;1.8
36;2019-08-14;370.0;1.8
37;2019-07-15;358.0;1.9
38;2019-06-14;350.35;1.9
39;2019-05-15;369.49;1.85
40;2019-04-12;362.0;1.8
41;2019-03-18;362.0;1.8
42;2019-02-14;369.97;1.8
43;2019-01-15;375.0;1.7
44;2018-12-14;331.0;1.7
45;2018-11-16;317.95;1.7
46;2018-10-15;301.0;9.15
47;2018-09-17;320.0;1.65
48;2018-08-14;309.0;1.65
49;2018-07-16;310.6;1.75
50;2018-06-14;325.0;1.85
51;2018-05-15;340.02;1.85
52;2018-04-13;363.0;1.9
53;2018-03-14;352.0;1.9
54;2018-02-16;350.0;1.9
55;2018-01-15;350.0;1.95
56;2017-12-14;330.9;1.85
57;2017-11-16;339.0;1.85
58;2017-08-14;312.0;1.85
59;2017-07-14;309.5;1.85
60;2017-06-14;310.06;1.85
61;2017-04-17;300.0;1.75
62;2017-02-14;315.8;1.75
63;2016-12-14;300.0;1.75
64;2016-09-14;295.0;2.0
