;days;values;redimentos
0;2022-08-08;114.0;0.72
1;2022-07-08;114.33;0.75
2;2022-05-09;116.8;0.7
3;2022-04-08;117.02;0.82
4;2022-03-09;116.04;0.72
5;2022-02-08;118.0;1.04
6;2022-01-10;106.01;0.75
7;2021-12-08;103.45;0.6
8;2021-11-09;110.33;0.34
9;2021-10-08;116.01;0.5
10;2021-09-09;119.43;0.72
11;2021-07-08;124.29;0.43
12;2021-06-09;137.9;0.43
13;2021-03-08;137.0;1.4
14;2021-02-08;141.87;0.529541563681075
15;2021-01-11;140.0;0.459734767685577
16;2020-08-10;159.99;0.08275629
17;2020-07-08;170.9;0.77
18;2020-03-09;194.0;0.87
19;2020-02-10;216.5;1.74
20;2020-01-09;227.99;1.8
21;2019-12-09;188.5;1.25
22;2019-11-08;188.5;1.0
23;2019-10-08;184.0;1.32
24;2019-09-09;184.01;0.535685779578158
25;2019-08-08;182.35;0.930400489759652
26;2019-07-08;187.8;2.103393
27;2019-06-10;180.01;0.98
28;2019-05-09;185.5;0.99
29;2019-04-08;190.26;0.61
30;2019-03-13;190.44;0.99
31;2019-02-08;189.89;1.65
32;2019-01-09;190.0;1.33
33;2018-12-10;220.0;1.35
34;2018-02-27;250.0;0.336
35;2019-01-09;190.0;1.33
36;2017-12-27;218.9;1.43156485
37;2017-07-28;160.0;1.3474624394845
