;days;values;redimentos
0;2019-04-30;5.4;
1;2019-05-02;5.39;
2;2019-05-03;4.89;
3;2019-05-06;4.89;
4;2019-05-07;4.76;
5;2019-05-08;4.5;
6;2019-05-09;4.13;
7;2019-05-10;3.9;
8;2019-05-13;3.75;
9;2019-05-14;3.87;
10;2019-05-15;3.75;
11;2019-05-16;3.7;
12;2019-05-17;3.8;
13;2019-05-20;3.8;
14;2019-05-21;3.78;
15;2019-05-22;3.79;
16;2019-05-23;3.83;
17;2019-05-24;3.85;
18;2019-05-27;3.85;
19;2019-05-28;3.79;
20;2019-05-29;3.85;
21;2019-05-30;3.85;
22;2019-05-31;3.85;
23;2019-06-03;3.8;
24;2019-06-04;3.76;
25;2019-06-05;3.75;
26;2019-06-06;3.76;
27;2019-06-07;3.52;
28;2019-06-10;3.65;
29;2019-06-11;3.51;
30;2019-06-12;3.6;
31;2019-06-13;3.6;
32;2019-06-14;3.5;
33;2019-06-17;3.5;
34;2019-06-18;3.4;
35;2019-06-19;3.6;
36;2019-06-21;3.49;
37;2019-06-24;3.48;
38;2019-06-25;3.51;
39;2019-06-26;3.55;
40;2019-06-27;3.6;
41;2019-06-28;3.76;
42;2019-07-01;3.69;
43;2019-07-02;3.65;
44;2019-07-03;3.58;
45;2019-07-04;3.5;
46;2019-07-05;3.53;
47;2019-07-08;3.57;
48;2019-07-10;3.6;
49;2019-07-11;3.56;
50;2019-07-12;3.5;
51;2019-07-15;3.5;
52;2019-07-16;3.53;
53;2019-07-17;3.55;
54;2019-07-18;3.6;
55;2019-07-19;3.6;
56;2019-07-22;3.88;
57;2019-07-23;3.74;
58;2019-07-24;3.62;
59;2019-07-25;3.7;
60;2019-07-26;3.57;
61;2019-07-29;3.65;
62;2019-07-30;3.69;
63;2019-07-31;3.64;
64;2019-08-01;3.85;
65;2019-08-02;3.93;
66;2019-08-05;3.76;
67;2019-08-06;3.7;
68;2019-08-07;3.7;
69;2019-08-08;3.61;
70;2019-08-09;3.7;
71;2019-08-12;3.8;
72;2019-08-13;3.85;
73;2019-08-14;3.71;
74;2019-08-15;3.75;
75;2019-08-16;3.8;
76;2019-08-19;3.65;
77;2019-08-20;3.67;
78;2019-08-21;3.66;
79;2019-08-22;3.6;
80;2019-08-23;3.56;
81;2019-08-26;3.51;
82;2019-08-27;3.5;
83;2019-08-28;3.42;
84;2019-08-29;3.44;
85;2019-08-30;3.31;
86;2019-09-02;3.4;
87;2019-09-03;3.38;
88;2019-09-04;3.48;
89;2019-09-05;3.47;
90;2019-09-06;3.5;
91;2019-09-09;3.46;
92;2019-09-10;3.47;
93;2019-09-11;3.5;
94;2019-09-12;3.53;
95;2019-09-13;3.47;
96;2019-09-16;3.5;
97;2019-09-17;3.55;
98;2019-09-18;3.63;
99;2019-09-19;3.58;
100;2019-09-20;3.6;
101;2019-09-23;3.7;
