;days;values;redimentos
0;2022-09-15;82.98;0.74
1;2022-07-14;69.85;0.74
2;2022-06-14;71.35;0.74
3;2022-05-13;72.36;0.74
4;2022-04-14;78.5;0.74
5;2022-03-15;76.62;0.74
6;2022-02-14;78.32;0.74
7;2022-01-14;83.3;0.74
8;2021-12-14;75.02;0.67
9;2021-11-16;73.67;0.67
10;2021-10-15;86.44;0.67
11;2021-09-15;91.35;0.67
12;2021-08-13;95.5;0.67
13;2021-07-15;101.06;0.67
14;2021-06-15;104.99;0.67
15;2021-05-14;107.01;0.67
16;2021-04-15;105.0;0.67
17;2021-03-12;108.0;0.67
18;2021-02-12;108.59;0.687676
19;2021-01-15;107.9;0.687676
20;2020-12-14;108.0;0.687676
21;2020-11-16;117.34;0.687676
22;2020-10-15;117.81;0.687676
23;2020-09-15;113.99;0.687676
24;2020-08-14;113.95;0.687676
25;2020-07-14;116.5;0.687676
26;2020-06-15;117.5;0.687676
27;2020-05-15;110.75;0.687676
28;2020-04-15;102.51;0.687676
29;2020-03-13;108.5;0.687676
30;2020-02-14;117.74;0.687676
31;2020-01-15;120.85;0.687676
32;2019-12-13;111.0;0.666666666666667
33;2019-11-14;111.9;0.666666666666667
34;2019-10-14;104.98;0.666666666666667
35;2019-09-13;103.04;0.666666666666667
36;2019-08-14;103.0;0.666666666666667
37;2019-07-15;102.1;0.666666666666667
