;days;values;redimentos
0;2022-09-14;92.77;0.6552
1;2022-07-14;83.0;0.6545
2;2022-06-14;82.41;0.6664
3;2022-05-13;83.0;0.7115
4;2022-04-14;83.86;0.7559
5;2022-03-14;85.2;0.7933
6;2022-02-14;84.98;0.7467
7;2022-01-14;87.98;0.9278
8;2021-12-15;86.96;1.28
9;2021-11-12;80.07;0.65
10;2021-10-15;83.5;0.66
11;2021-09-15;86.42;0.64
12;2021-08-13;90.15;0.57
13;2021-07-15;96.55;0.66
14;2021-06-15;94.16;0.66
15;2021-05-14;96.25;0.63
16;2021-04-15;96.01;0.67
17;2021-03-12;99.9;0.67
18;2021-02-12;103.19;0.67
19;2021-01-15;98.9;0.67
20;2020-12-14;100.0;0.669995110594958
21;2020-11-16;98.97;0.659544530980038
22;2020-10-15;96.52;0.688667266858206
23;2020-09-15;96.1;0.697457183874136
24;2020-08-14;98.0;0.668032615626859
25;2020-07-14;99.1;0.668400345186095
26;2020-06-12;99.75;0.704259722552016
