;days;values;redimentos
0;2022-09-15;107.17;1.1
1;2022-07-14;110.95;1.5
2;2022-06-14;110.63;1.77
3;2022-05-13;103.71;1.75
4;2022-04-14;105.2;1.4
5;2022-03-15;118.03;1.4
6;2022-02-07;122.63;1.6
7;2022-01-14;125.0;1.6
8;2021-12-14;119.82;1.6
9;2021-11-16;120.0;1.6
10;2021-10-15;124.66;1.6
11;2021-09-15;120.38;1.5
12;2021-08-13;122.39;1.5
13;2021-07-15;136.5;1.7
14;2021-06-15;135.0;1.9
15;2021-05-14;135.45;2.0
16;2021-04-15;147.46;2.0
17;2021-03-12;145.6;2.0
18;2021-02-12;148.46;2.22
19;2021-01-15;148.0;2.47
20;2020-12-14;137.65;2.51
21;2020-11-16;148.85;2.38
22;2020-10-16;138.4;2.25
23;2020-09-15;125.5;2.12
24;2020-08-14;127.0;1.17
25;2020-07-14;120.1;1.03
26;2020-06-16;119.0;1.11
27;2020-05-15;114.71;0.94
28;2020-04-15;113.66;1.43
29;2020-03-17;116.95;1.92
30;2020-02-14;124.24;1.56
31;2020-01-14;132.3;1.34
32;2019-12-13;129.21;1.05
33;2019-11-14;138.5;1.1
34;2019-10-14;140.2;1.2
35;2019-09-13;1199.99;1.58
36;2019-08-14;1120.0;1.371
