;days;values;redimentos
0;2022-09-15;76.46;0.62
1;2022-07-14;68.14;0.6
2;2022-06-14;71.29;0.6
3;2022-05-13;71.25;0.6
4;2022-04-14;75.5;0.6
5;2022-03-15;74.69;0.6
6;2022-02-14;76.74;0.6
7;2022-01-14;80.43;0.6
8;2021-12-14;80.7;0.6
9;2021-11-16;78.21;0.6
10;2021-10-15;84.0;0.6
11;2021-09-15;86.16;0.6
12;2021-08-13;89.95;0.6
13;2021-07-15;95.99;0.6
14;2021-06-15;97.75;0.6
15;2021-05-14;99.1;0.6
16;2021-04-15;100.38;0.56
17;2021-03-12;100.64;0.55
18;2021-02-12;103.09;0.55
19;2021-01-15;103.19;0.75
20;2020-12-14;102.0;0.55
21;2020-11-16;103.27;0.55
22;2020-10-15;104.2;0.5
23;2020-09-15;110.8;0.5
24;2020-08-14;113.5;0.5
25;2020-07-14;115.81;1.08
26;2020-06-15;113.5;0.9
27;2020-05-15;102.75;0.76
28;2020-04-15;99.94;0.7
29;2020-03-13;106.0;0.7
30;2020-02-14;117.24;0.67
31;2020-01-15;124.09;1.4
32;2019-12-13;115.2;0.85
33;2019-11-14;105.6;0.65
34;2019-10-14;104.9;0.6
35;2019-09-13;104.2;0.58
36;2019-08-14;105.95;0.57
37;2019-07-15;104.0;1.4
38;2019-06-14;105.0;1.3
39;2019-05-15;103.12;1.25
40;2019-04-12;100.2;1.0
41;2019-03-14;99.98;0.95
42;2019-02-14;97.26;0.75
43;2019-01-15;97.49;0.54
44;2019-01-15;97.49;0.54
45;2018-12-14;88.5;0.54
46;2018-11-16;89.56;0.54
47;2018-10-15;85.0;0.54
48;2018-09-17;86.9;0.54
49;2018-08-14;90.0;0.54
50;2018-07-16;89.55;0.87
51;2018-06-14;90.0;0.85
52;2018-05-15;98.8;0.55
53;2018-04-13;98.8;0.5
