;days;values;redimentos
0;2022-09-15;104.39;1.2
1;2022-07-14;102.99;1.2
2;2022-06-14;103.9;1.15
3;2022-05-13;104.0;1.1
4;2022-04-14;105.39;1.05
5;2022-03-15;104.25;1.05
6;2022-02-14;105.08;1.03
7;2022-01-14;106.99;1.25
8;2021-12-14;105.5;0.95
9;2021-11-16;102.56;0.9
10;2021-10-15;105.8;0.85
11;2021-09-15;102.18;0.8
12;2021-08-13;101.91;0.8
13;2021-07-15;104.99;1.45
14;2021-06-15;105.92;0.75
15;2021-05-14;107.5;0.72
16;2021-04-15;109.35;0.68
17;2021-03-12;105.0;0.62
18;2021-02-12;104.8;0.62
19;2021-01-15;102.91;0.73
20;2020-12-14;98.34;0.52
21;2020-11-16;101.2;0.52
22;2020-10-15;102.01;0.48
23;2020-09-15;104.7;0.48
24;2020-08-14;101.79;0.48
25;2020-07-14;105.09;0.48
26;2020-06-12;107.25;0.56
27;2020-05-15;101.75;0.6
28;2020-04-15;95.2;0.6
29;2020-03-13;103.2;0.6
30;2020-02-14;116.99;0.6
31;2020-01-15;125.32;0.6
32;2019-12-13;122.0;0.6
33;2019-11-14;122.75;0.74
34;2019-10-14;117.11;0.74
35;2019-09-13;119.5;0.74
36;2019-08-14;117.25;0.74
37;2019-07-12;119.0;0.74
38;2019-06-14;117.5;0.74
39;2019-05-15;114.13;0.74
40;2019-04-12;124.87;0.74
41;2019-03-18;115.23;0.74
42;2019-02-14;118.4;0.74
43;2019-01-15;115.75;0.97
44;2018-12-14;112.5;0.77
45;2018-11-16;111.35;0.77
46;2018-10-15;109.85;0.77
47;2018-09-17;107.0;0.77
48;2018-08-14;106.0;0.77
49;2018-07-13;107.0;1.06
50;2018-06-14;107.48;0.77
51;2018-05-15;106.5;0.77
52;2018-04-13;109.5;0.77
53;2018-03-14;106.9;0.75
54;2018-02-16;101.48;0.75
55;2018-01-15;102.0;0.73
56;2017-12-14;96.9;0.73
57;2017-11-16;103.5;0.73
58;2017-10-16;105.0;0.725
59;2017-09-15;1060.0;0.7
60;2017-08-14;1050.0;0.8
61;2017-07-14;1070.0;0.9
62;2017-06-14;1040.0;0.9
63;2017-05-15;1045.0;0.9
64;2017-04-17;1030.5;0.9
65;2017-02-14;1000.0;0.9
66;2017-01-13;1003.0;1.2
67;2016-12-14;978.2;0.9
68;2016-10-17;987.0;0.9
69;2016-09-15;950.01;0.9
