;days;values;redimentos
0;2022-09-15;166.94;1.1
1;2022-07-14;163.17;3.3
2;2022-06-14;163.11;1.1
3;2022-05-13;163.36;1.1
4;2022-04-14;163.99;1.1
5;2022-03-15;161.0;1.1
6;2022-02-14;166.0;1.1
7;2022-01-14;170.18;1.75
8;2021-12-14;159.64;1.1
9;2021-11-16;159.16;1.1
10;2021-10-15;166.0;1.1
11;2021-09-15;162.68;1.1
12;2021-08-13;166.24;1.1
13;2021-07-15;170.2;2.2
14;2021-06-15;168.01;1.0
15;2021-05-14;171.23;0.78
16;2021-04-15;172.0;0.78
17;2021-03-12;177.0;0.78
18;2021-02-12;178.3;0.78
19;2021-01-15;180.95;2.63
20;2020-12-14;167.81;0.78
21;2020-11-16;168.0;0.78
22;2020-10-15;173.5;0.6
23;2020-09-15;168.44;0.78
24;2020-08-14;184.55;0.78
25;2020-07-14;169.1;0.78
26;2020-06-12;188.61;0.78
27;2020-05-15;174.47;0.78
28;2020-04-15;173.8;0.78
29;2020-03-13;155.77;0.78
30;2020-02-14;188.57;0.78
31;2020-01-15;198.78;0.78
32;2019-12-13;193.01;0.78
33;2019-11-14;172.2;0.78
34;2019-10-14;158.8;0.78
35;2019-09-13;154.3;0.75
36;2019-08-14;150.84;0.75
37;2019-07-12;152.0;0.75
38;2019-06-14;149.0;0.75
39;2019-05-15;152.91;0.75
40;2019-04-12;157.01;0.75
41;2019-03-18;160.6;0.75
42;2019-02-14;146.0;0.75
43;2019-01-15;144.97;0.75
44;2018-12-14;138.5;0.75
45;2018-11-16;132.93;0.75
46;2018-10-15;126.6;0.75
47;2018-09-17;126.28;0.75
48;2018-08-14;126.3;0.75
49;2018-07-13;125.0;0.75
50;2018-06-14;125.0;0.87
51;2018-05-15;138.96;0.87
52;2018-04-13;1401.0;0.87
53;2018-03-14;1475.0;0.87
54;2018-02-16;1335.0;0.87
55;2018-01-15;1295.0;0.87
56;2017-12-14;1284.12;0.87
57;2017-11-16;1307.5;0.87
58;2017-10-16;1316.99;0.87
59;2017-08-14;1240.0;0.87
60;2017-07-14;1236.0;0.87
61;2017-06-14;1249.0;0.87
62;2017-05-15;1280.79;0.87
63;2017-01-13;1105.01;0.87
64;2016-12-14;1104.0;0.87
65;2016-11-16;1129.0;0.87
66;2016-10-17;1144.99;0.87
67;2016-09-15;1130.0;0.87
