;days;values;redimentos
0;2022-09-15;96.75;0.65
1;2022-07-14;86.07;0.65
2;2022-06-14;86.98;0.65
3;2022-05-13;88.59;0.65
4;2022-04-14;91.95;0.65
5;2022-03-15;88.96;0.65
6;2022-02-14;93.31;0.65
7;2022-01-14;93.18;0.63
8;2021-12-14;95.5;0.63
9;2021-11-16;99.83;0.63
10;2021-10-15;103.71;0.63
11;2021-09-15;102.52;0.63
12;2021-08-13;107.48;0.63
13;2021-07-15;111.46;0.63
14;2021-06-15;112.97;0.63
15;2021-05-14;114.83;0.63
16;2021-04-15;114.97;0.63
17;2021-03-12;117.22;0.63
18;2021-02-12;118.25;0.63
19;2021-01-15;119.38;0.75
20;2020-12-14;117.2;0.63
21;2020-11-16;117.64;0.63
22;2020-10-15;117.49;0.63
23;2020-09-15;119.0;0.63
24;2020-08-14;120.97;0.63
25;2020-07-14;125.0;0.63
26;2020-06-15;125.0;0.63
27;2020-04-15;115.0;0.63
28;2020-03-13;127.49;0.63
29;2020-02-14;128.95;0.63
30;2020-01-15;135.0;1.7
