;days;values;redimentos
0;2022-09-08;85.0;1.0
1;2022-08-05;90.28;1.0
2;2022-07-07;94.25;1.25
3;2022-06-07;94.95;1.25
4;2022-05-06;93.54;1.15
5;2022-04-07;95.05;1.15
6;2022-03-08;95.55;1.15
7;2022-02-07;94.42;1.1
8;2022-01-07;92.17;1.0
9;2021-12-07;89.2;1.05
10;2021-11-08;90.26;1.05
11;2021-10-07;89.9;1.0
12;2021-09-08;87.0;0.82
13;2021-08-06;95.91;0.85
14;2021-07-07;98.29;1.0
15;2021-06-08;102.51;1.1
16;2021-05-07;98.15;1.1
17;2021-04-08;99.48;1.1
18;2021-03-05;96.47;1.0
19;2021-02-05;93.55;0.8
20;2021-01-08;95.49;0.7
21;2020-12-07;90.3;0.4
22;2020-11-09;90.5;0.22
23;2020-10-07;94.33;0.04
