;days;values;redimentos
0;2022-09-08;91.65;0.67
1;2022-08-05;78.3;0.65
2;2022-07-07;76.46;0.65
3;2022-06-07;78.99;0.62
4;2022-05-06;77.26;0.6
5;2022-04-07;81.21;0.6
6;2022-03-08;75.04;0.6
7;2022-02-07;75.29;0.55
8;2022-01-07;79.43;0.52
9;2021-12-07;72.01;0.52
10;2021-11-08;75.9;0.52
11;2021-10-07;78.8;0.52
12;2021-09-08;80.2;0.5
13;2021-08-06;84.33;0.5
14;2021-07-07;85.73;0.4
15;2021-06-08;90.1;0.35
16;2021-05-07;91.09;0.22
17;2021-04-08;88.2;0.16
18;2021-03-05;90.08;0.4
19;2021-02-05;96.02;0.5
20;2021-01-08;95.9;0.5
21;2020-12-07;94.0;0.47
22;2020-11-09;94.79;0.45
23;2020-10-07;93.99;0.4
24;2020-09-08;93.44;0.26
25;2020-08-07;87.3;0.18
26;2020-07-07;89.8;0.18
27;2020-06-05;91.4;0.18
28;2020-05-08;79.47;0.22
29;2020-04-07;81.0;0.22
30;2020-03-06;116.3;0.6
31;2020-02-07;120.09;0.6
32;2020-01-08;125.0;0.66
33;2019-12-06;113.0;0.62
34;2019-11-07;105.0;0.62
35;2019-10-07;102.8;0.61
36;2019-09-06;103.6;0.6
