;days;values;redimentos
0;2022-09-15;87.5;0.7
1;2022-07-14;72.9;0.7
2;2022-06-14;74.12;0.68
3;2022-05-13;77.14;0.68
4;2022-04-14;77.68;0.68
5;2022-03-15;73.26;0.65
6;2022-02-14;77.5;0.63
7;2022-01-14;76.84;0.61
8;2021-12-14;71.66;0.48
9;2021-11-16;73.49;0.58
10;2021-10-15;82.18;0.58
11;2021-09-15;80.8;0.58
12;2021-08-13;83.5;0.57
13;2021-07-14;90.59;0.88
14;2021-06-15;91.51;0.55
15;2021-05-14;92.9;0.55
16;2021-04-15;95.3;0.55
17;2021-03-12;94.98;0.55
18;2021-02-12;103.0;0.5
19;2021-01-15;101.38;0.5
20;2020-12-14;102.99;0.5
21;2020-11-16;111.24;0.46
22;2020-10-15;110.32;0.46
23;2020-09-15;114.5;0.46
24;2020-08-14;111.68;0.46
25;2020-07-14;111.9;0.91
26;2020-06-15;107.5;0.45
27;2020-05-15;98.0;0.45
28;2020-04-15;98.01;0.45
29;2020-03-13;113.0;0.54
30;2020-02-14;129.99;0.54
31;2020-01-15;134.08;0.54
32;2019-12-13;136.3;0.54
33;2019-11-14;133.7;0.54
34;2019-10-14;111.01;0.54
35;2019-09-13;111.37;0.54
36;2019-08-14;113.5;0.54
37;2019-07-12;110.5;0.68
38;2019-06-14;103.0;0.56
39;2019-05-15;107.1;0.52
40;2019-04-12;114.55;0.46
41;2019-03-18;108.02;0.58
