;days;values;redimentos
0;2022-09-20;96.9;1.1
1;2022-08-17;97.65;1.1
2;2022-07-19;97.19;1.1
3;2022-06-20;97.76;1.1
4;2022-05-18;97.9;1.0
5;2022-04-20;100.5;1.0
6;2022-03-18;99.71;1.0
7;2022-02-17;100.09;1.0
8;2022-01-19;102.14;1.0
9;2021-12-17;99.15;1.0
10;2021-11-19;99.51;1.0
11;2021-10-20;100.45;1.0
12;2021-09-20;100.49;1.0
13;2021-08-18;101.8;1.0
14;2021-07-20;103.2;1.0
15;2021-06-18;102.9;0.9
16;2021-05-19;101.09;0.7
17;2021-04-20;103.98;0.7
18;2021-03-17;102.61;0.7
19;2021-02-19;103.49;0.7
20;2021-01-20;102.4;0.6
21;2020-12-17;100.07;0.6
22;2020-11-19;101.7;0.6
23;2020-10-20;103.0;0.6
24;2020-09-18;102.5;0.6
25;2020-08-19;98.8;0.6
26;2020-07-17;98.8;0.55
27;2020-06-18;98.69;0.6
28;2020-05-20;84.41;0.6
29;2020-04-20;89.0;0.5
30;2020-03-18;84.0;0.85087036
31;2020-02-19;104.0;0.614907431
32;2020-01-20;110.55;0.3843958
33;2019-12-13;105.5;0.140249449
