;days;values;redimentos
0;2022-09-15;66.38;0.67
1;2022-07-14;60.95;0.42
2;2022-06-14;63.63;0.56
3;2022-05-13;77.33;0.44
4;2022-04-14;80.38;1.44
5;2022-03-15;73.5;0.83
6;2022-02-14;73.97;0.98
7;2022-01-14;73.95;1.06
8;2021-12-14;70.0;0.52
9;2021-11-16;67.7;0.65
10;2021-10-15;74.7;0.58
11;2021-09-15;80.75;0.6
12;2021-08-13;80.1;0.71
13;2021-07-14;92.8;0.64
14;2021-06-15;98.49;0.89
15;2021-05-14;98.5;0.9
16;2021-04-15;102.15;1.0
17;2021-03-12;97.47;0.65
18;2021-02-12;110.98;0.72
19;2021-01-15;115.5;1.44
20;2020-12-14;148.0;2.01
21;2020-11-16;121.44;1.46
22;2020-10-15;117.0;0.59
23;2020-09-15;122.0;1.11
24;2020-08-14;122.5;3.5
25;2020-07-14;107.99;16.0
