;days;values;redimentos
0;2022-09-15;96.4;1.1
1;2022-07-14;93.02;1.1
2;2022-06-14;95.56;1.1
3;2022-05-13;96.3;1.11
4;2022-04-14;103.39;1.17
5;2022-03-15;104.0;1.17
6;2022-02-14;107.65;1.18
7;2022-01-14;107.99;1.25
8;2021-12-14;103.73;1.24
9;2021-11-16;103.83;1.24
10;2021-10-15;113.8;1.19
11;2021-09-15;113.98;1.19
12;2021-08-13;113.0;1.2
13;2021-07-14;112.02;0.92
14;2021-06-15;113.2;0.91
15;2021-05-14;118.02;0.91
16;2021-04-15;119.79;0.97
17;2021-03-12;119.84;1.01
18;2021-02-12;131.6;1.01
19;2021-01-15;130.59;1.04
20;2020-12-14;128.94;1.1
21;2020-11-16;135.25;1.1
22;2020-10-15;129.91;1.01
23;2020-09-15;125.34;0.98
24;2020-08-14;125.1;0.96
25;2020-07-14;121.0;0.95
26;2020-06-15;124.74;1.01
27;2020-05-15;112.95;1.03
28;2020-04-15;109.0;1.03
29;2020-03-13;114.02;1.02
30;2020-02-14;130.0;1.0
31;2020-01-15;132.99;1.0
32;2019-12-13;126.65;1.0
33;2019-11-14;125.55;1.01
34;2019-10-14;122.29;1.06
35;2019-09-13;116.9;1.08
36;2019-08-14;120.0;1.13
37;2019-07-15;119.0;1.12
38;2019-06-14;112.0;1.15
39;2019-05-15;110.2;1.15
40;2019-04-12;109.64;1.15
41;2019-03-18;109.99;1.15
42;2019-02-14;105.85;1.16
43;2019-01-15;94.0;1.13
44;2018-12-14;92.45;1.13
45;2018-11-16;92.0;1.14
46;2018-07-13;115.6;1.18
47;2018-06-14;113.99;1.18
48;2018-05-15;120.44;1.18
49;2018-04-13;131.89;1.18
50;2018-03-14;122.33;1.18
51;2018-02-16;126.6;1.18
52;2018-01-15;142.52;1.17
53;2017-12-14;135.0;1.17
54;2017-11-16;131.2;1.17
55;2017-10-16;124.5;1.17
56;2017-09-15;121.78;1.17
57;2017-09-15;121.78;0.3
58;2017-08-14;110.11;1.17
59;2017-07-14;120.55;1.17
60;2017-06-14;117.0;1.17
61;2017-05-15;114.99;1.17
62;2017-04-17;108.5;1.17
63;2017-03-14;105.0;1.17
64;2017-02-14;104.0;1.17
65;2017-01-13;105.0;1.17
66;2016-12-14;105.15;1.17
67;2016-11-16;105.35;1.17
68;2016-10-17;102.71;1.17
69;2016-09-15;103.0;1.17
