;days;values;redimentos
0;2022-08-18;87.51;1.35
1;2022-07-20;84.11;1.25
2;2022-06-21;85.5;1.15
3;2022-05-19;85.28;1.15
4;2022-04-22;85.1;1.0
5;2022-03-21;85.42;1.0
6;2022-02-18;86.62;1.0
7;2022-01-20;89.15;1.0
8;2021-12-20;85.2;0.95
9;2021-11-22;81.08;0.8
10;2021-10-21;86.04;0.8
11;2021-09-21;87.03;0.8
12;2021-08-19;89.3;0.8
13;2021-07-21;92.88;0.789028806
14;2021-06-21;94.0;0.7
15;2021-05-20;99.45;0.9
16;2021-04-22;102.0;0.95
17;2021-02-22;97.8;0.7
18;2021-01-21;92.97;0.664669583
19;2020-12-18;97.96;0.65
