;days;values;redimentos
0;2022-08-18;69.5;0.65
1;2022-07-20;64.6;0.856450577
2;2022-06-21;65.11;0.7
3;2022-05-19;67.42;0.7
4;2022-04-22;70.74;0.7
5;2022-03-21;71.19;0.7
6;2022-02-18;75.01;0.7
7;2022-01-20;76.74;0.7
8;2021-12-20;71.9;0.65
9;2021-11-22;70.56;0.65
10;2021-10-21;81.8;0.7
11;2021-09-21;77.9;0.7
12;2021-08-19;78.0;0.7
13;2021-07-21;88.94;0.61
14;2021-06-21;90.95;0.67
15;2021-05-20;85.95;0.62
16;2021-04-22;94.93;0.57
17;2021-03-18;97.5;0.52
18;2021-02-22;105.5;0.5
19;2021-01-21;113.49;1.0
20;2020-12-18;111.3;0.9
21;2020-11-20;110.5;0.9
22;2020-10-21;111.25;0.9
23;2020-09-21;107.75;0.9
24;2020-08-20;105.5;0.83
25;2020-07-20;104.5;0.6
26;2020-06-19;102.0;0.32
27;2020-05-21;100.0;0.37
