;days;values;redimentos
0;2022-09-15;10.18;0.11
1;2022-07-14;9.69;0.1
2;2022-06-14;9.59;0.11
3;2022-05-13;9.43;0.11
4;2022-04-14;9.69;0.1
5;2022-03-15;9.07;0.09
6;2022-02-14;9.35;0.09
7;2022-01-14;9.98;0.09
8;2021-12-14;9.82;0.08
9;2021-11-16;9.95;0.09
10;2021-10-15;10.06;0.08
11;2021-09-15;10.1;0.08
12;2021-08-13;10.0;0.07
13;2021-07-15;10.29;0.07
14;2021-06-15;10.37;0.07
15;2021-05-14;10.52;0.08
16;2021-04-15;10.43;0.08
17;2021-03-12;10.36;0.08
18;2021-02-12;10.75;0.08
19;2021-01-15;10.48;0.07
20;2020-12-14;10.19;0.06
21;2020-11-16;10.52;0.06
22;2020-10-15;10.67;0.07
23;2020-09-15;10.59;0.07
24;2020-08-14;10.48;0.07
25;2020-07-14;10.92;0.07
26;2020-06-15;10.9;0.07
27;2020-05-15;10.0;0.07
28;2020-04-14;10.08;0.08
29;2020-03-06;11.18;0.09
30;2020-02-14;11.49;0.08
31;2020-01-14;12.69;0.13
32;2019-12-12;11.76;0.09
33;2019-11-14;11.2;0.09
34;2019-10-15;11.19;0.09
35;2019-09-12;10.89;0.07
36;2019-08-15;10.9;0.07
37;2019-07-15;11.63;0.07
38;2019-06-14;11.99;0.07
39;2019-06-14;11.99;0.07
40;2019-05-15;11.39;0.07
41;2019-04-15;10.95;0.07
42;2019-03-15;11.42;0.07
43;2019-02-14;10.59;0.06
44;2019-01-15;11.18;0.06
45;2018-12-17;10.05;0.06
46;2018-11-16;9.97;0.06
47;2018-10-15;9.86;0.07
48;2018-09-17;9.96;0.07
49;2018-08-14;10.08;0.08
50;2018-07-13;10.14;0.1
51;2018-06-15;9.4;0.08
52;2018-05-15;10.24;0.06
53;2018-04-16;10.43;0.06
54;2018-03-15;10.29;0.07
55;2018-02-15;9.45;0.06
56;2018-01-15;9.58;0.05
57;2017-12-14;9.51;0.06
58;2017-11-16;9.59;0.06
59;2017-10-16;9.51;0.07
60;2017-09-15;9.45;0.06
61;2017-08-14;9.37;0.07
62;2017-07-14;9.56;0.06
63;2017-06-14;9.96;0.1
