;days;values;redimentos
0;2022-08-19;80.0;1.1500001114
1;2022-07-21;79.49;1.1500003992
2;2022-06-22;79.85;1.1000001392
3;2022-05-20;77.22;0.9500000928
4;2022-04-25;80.15;0.9000000278
5;2022-03-22;80.3;0.8000000092
6;2022-02-21;81.98;0.7500001021
7;2022-01-21;86.3;1.1600002971
8;2021-11-22;85.15;1.1000001322
9;2021-10-22;87.05;1.1000001082
10;2021-09-22;85.76;0.8000004688
11;2021-08-20;87.73;0.7000000361
12;2021-07-21;90.51;0.9722191968
13;2021-06-22;86.8;0.820000012
14;2021-05-21;88.22;0.7700000841
15;2021-04-23;89.34;0.7500002043
16;2021-03-19;88.6;0.6400005049
17;2021-02-23;91.0;0.6200001082
18;2021-01-22;93.9;1.127583565
19;2020-12-21;86.0;0.6500001
20;2020-11-23;82.4;0.600000012
21;2020-10-22;81.25;0.550000012
22;2020-09-22;80.97;0.55000001
23;2020-08-21;82.73;0.5500015027
24;2020-07-21;86.0;0.5500050972
25;2020-06-22;90.07;0.5500509956
26;2020-05-22;82.17;0.550123101
27;2020-04-23;82.0;0.55
28;2020-03-20;68.01;0.65
29;2020-02-21;99.9;0.60394321
30;2020-01-22;102.6;0.75
31;2019-12-20;95.0;0.55
32;2019-11-25;97.5;0.45
33;2019-10-21;101.5;0.65
34;2019-09-20;99.3;0.6500000187
35;2019-08-21;100.0;0.6400001311
36;2019-07-19;98.9;0.6400000187
37;2019-06-24;93.02;0.62
38;2019-05-22;95.0;0.610004158
39;2019-04-22;93.49;0.6000490527
40;2019-03-25;93.25;0.5612237506
41;2019-02-21;89.21;0.5425168753
42;2019-01-22;90.04;0.5893694326
43;2018-12-21;86.44;0.6007480203
44;2018-11-26;85.0;0.6010631448
45;2018-10-22;90.0;0.4499999813
46;2018-06-21;99.0;0.317795421
