;days;values;redimentos
0;2022-08-26;71.68;1.95
1;2022-08-08;66.88;0.92
2;2022-07-08;67.0;0.32
3;2022-05-09;68.48;0.32
4;2022-04-08;68.5;0.32
5;2022-03-09;68.39;0.3
6;2022-02-08;67.14;0.3
7;2022-01-10;64.75;0.3
8;2021-12-08;63.88;0.3
9;2021-11-08;63.1;0.3
10;2021-10-08;62.44;0.3
11;2021-09-09;63.0;0.31
12;2021-08-09;65.47;0.31
13;2021-07-08;67.0;0.31
14;2021-06-09;68.1;0.32
15;2021-05-10;69.32;0.31
16;2021-04-09;67.52;0.31
17;2021-03-26;70.13;14.35
18;2021-03-08;85.35;0.3
19;2021-02-08;84.63;0.3
20;2021-01-11;86.08;0.31
21;2020-12-08;84.49;0.3
22;2020-11-10;88.29;0.3
23;2020-10-08;89.56;0.29
24;2020-09-08;89.08;0.29
25;2020-08-10;86.19;0.27
26;2020-07-08;90.6;0.265
27;2020-06-08;93.0;0.22
28;2020-05-11;88.02;0.3
29;2020-04-08;90.5;0.3
30;2020-03-09;95.98;0.3
31;2020-02-10;104.49;0.4
32;2020-01-09;148.98;0.40230561637862
33;2019-12-09;114.97;0.4
34;2019-11-08;115.98;0.4
35;2019-10-08;101.0;0.38
36;2019-09-09;100.0;0.38
37;2019-08-08;100.01;0.3
38;2019-07-08;100.0;0.2619570354
39;2019-06-10;99.9;0.3
40;2019-05-09;99.8;0.3
