;days;values;redimentos
0;2022-09-08;27.28;0.09095511
1;2022-09-08;27.28;0.28885881
2;2022-08-05;27.99;0.24847485
3;2022-08-05;27.99;0.19305046
4;2022-07-07;28.9;0.12175305
5;2022-07-07;28.9;0.23592783
6;2022-06-07;34.0;0.21813199
7;2022-06-07;34.0;0.25298609
8;2022-05-06;40.5;0.20696187
9;2022-05-06;40.5;0.72260359
10;2022-04-07;41.0;0.6390736
11;2022-04-07;41.0;0.24978636
12;2022-03-08;41.97;1.20970202
13;2022-03-08;41.97;0.82330868
14;2022-02-07;38.69;1.04159346
15;2022-02-07;38.69;0.42450972
16;2022-01-07;38.55;0.20031383
17;2022-01-07;38.55;1.24464022
18;2021-12-07;38.0;0.1957816
19;2021-12-07;38.0;0.70688168
20;2021-11-08;39.0;0.1629441
21;2021-11-08;39.0;4.14548389
22;2021-10-07;45.28;0.28434324
23;2021-10-07;45.28;0.71833908
24;2021-09-08;46.0;0.11578719
25;2021-09-08;46.0;1.04915696
26;2021-08-06;46.99;0.36199575
27;2021-08-06;46.99;1.46320596
28;2021-07-07;44.5;1.63680797
29;2021-07-07;44.5;0.32364498
30;2021-06-08;45.5;0.6980933
31;2021-06-08;45.5;0.23305644
32;2021-05-07;44.73;0.28023795
33;2021-05-07;44.73;1.29125388
34;2021-04-08;45.82;0.09311236
35;2021-04-08;45.82;0.50006728
36;2021-03-05;45.55;0.34829384
37;2021-03-05;45.55;1.01823026
38;2021-02-05;45.5;0.2441628349
39;2021-02-05;45.5;1.0513228803
40;2021-01-08;44.53;0.286629376
41;2021-01-08;44.53;1.2666651507
42;2020-12-07;42.3;0.2110150749
43;2020-12-07;42.3;0.8904156747
44;2020-11-09;42.0;1.2152863029
45;2020-11-09;42.0;0.2893372238
46;2020-10-07;41.03;1.0491159107
47;2020-10-07;41.03;0.2157249681
48;2020-09-08;42.07;0.1925561247
49;2020-09-08;42.07;0.7931604918
50;2020-08-07;41.02;1.0444887793
51;2020-08-07;41.02;0.2106304071
52;2020-07-07;39.99;0.1991330436
53;2020-07-07;39.99;0.3502385823
54;2020-06-05;40.0;0.6266509205
55;2020-06-05;40.0;0.2262379493
56;2020-05-08;42.7;0.9085630784
57;2020-05-08;42.7;0.2884333923
58;2020-04-07;40.5;0.574306898
59;2020-04-07;40.5;0.1732869191
60;2020-03-06;50.2;0.1128946017
61;2020-03-06;50.2;1.0451389075
62;2020-02-07;53.67;0.2237061775
63;2020-02-07;53.67;1.2350772291
64;2020-01-08;57.2;0.7489628777
65;2019-12-06;57.49;0.2541356318
66;2019-12-06;57.49;0.8927701969
67;2019-11-07;60.01;0.7673376094
68;2019-11-07;60.01;0.1657035913
69;2019-10-07;61.02;1.16609792
70;2019-10-07;61.02;0.23578423
71;2019-09-06;61.55;1.0918921015
72;2019-09-06;61.55;0.766138589
73;2019-08-07;61.69;0.92440853
74;2019-08-07;61.69;0.42673967
75;2019-07-05;63.0;0.1839095225
76;2019-07-05;63.0;1.6879990937
77;2019-06-07;62.5;1.1948193329
78;2019-06-07;62.5;0.3752815784
79;2019-05-08;64.8;0.6941777777
80;2019-05-08;64.8;0.4892596594
81;2019-04-05;64.2;0.1488445525
82;2019-04-05;64.2;0.5679004889
83;2019-03-11;62.58;1.33748902
84;2019-03-11;62.58;0.29332928
85;2019-02-07;66.3;1.3112441332
86;2019-02-07;66.3;0.2725687713
87;2019-01-08;74.23;0.278447706
88;2019-01-08;74.23;1.4297692035
89;2018-12-07;77.01;0.3363509366
90;2018-12-07;77.01;1.838180261
91;2018-11-08;78.0;0.5375156395
92;2018-11-08;78.0;1.0361540926
93;2018-10-05;78.49;3.1541105098
94;2018-10-05;78.49;0.8244409581
95;2018-09-10;77.77;0.77454978
96;2018-09-10;77.77;0.76397466
97;2018-08-07;80.77;1.05
98;2018-08-07;80.77;0.65
99;2018-07-06;80.02;0.68
100;2018-07-06;80.02;1.77
101;2018-06-07;84.0;0.38
102;2018-06-07;84.0;1.17
103;2018-05-08;87.0;0.72
104;2018-05-08;87.0;3.94
105;2018-04-06;85.0;1.13
106;2018-04-06;85.0;0.68
107;2018-03-07;79.2;1.51
108;2018-03-07;79.2;0.36
109;2018-02-07;83.71;1.86
110;2018-02-07;83.71;0.56
111;2018-01-08;91.33;1.39
112;2018-01-08;91.33;0.61
113;2017-12-07;93.3;7.38
114;2017-12-07;93.3;0.39
115;2017-11-08;94.0;0.45
116;2017-10-06;110.0;0.54
117;2017-09-08;115.8;9.13
118;2017-08-07;110.0;0.68
119;2017-06-07;114.0;0.39
120;2017-05-08;114.9;0.79
121;2017-03-07;117.92;0.74
122;2017-02-07;103.5;1.5
123;2017-01-06;109.92;0.56
124;2016-12-07;112.0;0.95
125;2016-11-08;115.0;1.11
