;days;values;redimentos
0;2022-09-08;96.47;1.15
1;2022-08-05;96.95;1.5
2;2022-07-07;97.0;1.72
3;2022-06-07;94.8;1.52
4;2022-05-06;92.94;1.41
5;2022-04-07;93.34;1.22
6;2022-03-08;93.02;1.1
7;2022-02-07;93.33;1.17
8;2022-01-07;95.45;1.07841076
9;2021-12-07;89.92;1.11
10;2021-11-08;92.89;0.93
11;2021-10-07;95.7;0.91
12;2021-09-08;94.72;0.83
13;2021-08-06;98.78;0.9
14;2021-07-07;98.5;1.04
15;2021-06-08;101.7;1.0
16;2021-05-07;103.16;0.9
17;2021-04-08;102.5;0.86
18;2021-03-05;102.11;0.84
19;2021-02-05;102.55;0.81
20;2021-01-08;103.5;1.03
21;2020-12-07;101.5;0.81
22;2020-11-09;100.0;0.8
23;2020-10-07;99.9;0.82
24;2020-09-08;100.0;0.6587145766
25;2020-08-07;98.39;0.724755371
26;2020-07-07;97.25;1.0045383999
27;2020-06-05;94.87;0.5
28;2020-05-08;96.0;0.4416475473
29;2020-04-07;89.4;0.5106596796
30;2020-04-07;89.4;0.9581274685
31;2020-03-06;102.5;0.6063019703
32;2020-02-07;107.53;0.8366981265
33;2020-01-08;106.48;3.9349554708
34;2019-07-05;108.0;4.3538923351
35;2019-01-08;98.25;7.1051959587
36;2018-07-06;96.5;5.0
37;2018-01-08;100.87;3.34
38;2017-01-06;103.19;6.6
