;days;values;redimentos
0;2022-09-15;56.0;0.42
1;2022-06-14;56.8;0.41
2;2022-05-13;57.0;0.4
3;2022-04-14;57.74;0.4
4;2022-03-15;55.65;0.4
5;2022-02-14;56.49;0.39
6;2022-01-14;57.74;0.39
7;2021-12-14;59.5;0.38
8;2021-11-16;60.51;0.37
9;2021-10-15;61.48;0.37
10;2021-09-15;63.8;0.37
11;2021-08-13;62.03;0.37
12;2021-07-15;60.0;0.37
13;2021-06-15;62.79;0.36
14;2021-05-14;64.5;0.36
15;2021-04-15;67.0;0.36
16;2021-03-12;69.24;0.36
17;2021-02-12;70.94;0.35
18;2021-01-15;69.9;0.35
19;2020-12-14;69.5;0.35
20;2020-11-16;71.01;0.35
21;2020-11-16;71.01;3.5
22;2020-10-15;655.0;0.353
23;2020-09-15;680.0;0.345945185389536
24;2020-09-15;680.0;0.345
25;2020-08-14;680.0;0.353
