;days;values;redimentos
0;2020-11-06;171.17;190.0
1;2020-11-27;164.15;14.1
2;2020-10-15;380.01;1.62
3;2020-09-15;386.0;1.92
4;2020-08-14;355.0;2.02
5;2020-06-22;330.0;2.25
6;2020-05-22;316.73;2.2
7;2020-04-23;348.99;1.9
8;2020-03-20;349.9;2.2
9;2020-02-21;460.0;2.1
10;2020-01-22;430.02;2.15
11;2019-12-20;420.0;2.18
12;2019-11-25;418.0;1.9794872
13;2019-10-21;417.0;1.93
14;2019-09-20;424.0;1.93
15;2019-08-21;453.98;1.96
16;2019-07-22;456.0;2.0
17;2019-06-24;456.0;1.96
18;2019-05-22;390.0;2.14
19;2019-04-22;338.43;2.05
20;2019-03-25;339.99;2.04
21;2019-02-21;349.0;1.88
22;2019-01-22;338.0;1.68
23;2018-12-21;337.0;1.74
24;2018-11-26;333.95;1.61
25;2018-10-22;301.51;1.45
26;2018-09-24;308.97;1.47
27;2018-08-21;325.0;0.8
28;2018-07-23;330.0;0.75
29;2018-06-21;350.0;0.82
30;2018-05-22;368.0;0.73
31;2018-04-20;390.01;0.72
32;2018-03-21;400.01;0.74
33;2018-02-23;405.0;0.42
34;2018-01-22;400.0;0.76
35;2017-12-21;402.0;0.67
36;2017-10-23;427.0;1.78
37;2017-09-22;440.0;1.79
38;2017-08-21;468.5;1.75
39;2017-07-21;463.5;1.7
40;2017-04-25;478.0;1.69
41;2017-03-21;492.98;1.75
42;2017-02-21;490.03;1.85
43;2016-12-21;489.0;2.0
44;2016-11-23;496.0;1.88
45;2016-10-24;510.0;3.25
46;2016-09-22;515.0;3.4
