;days;values;redimentos
0;2022-09-15;87.69;1.23
1;2022-07-14;85.54;1.46
2;2022-06-14;87.4;1.3
3;2022-05-13;90.22;1.15
4;2022-04-14;89.85;1.1
5;2022-03-15;87.48;1.1
6;2022-02-14;86.89;0.95
7;2022-01-14;87.7;1.44
8;2021-12-14;83.89;1.1
9;2021-11-16;83.29;1.1
10;2021-10-15;83.32;0.9
11;2021-09-15;84.98;0.75
12;2021-08-13;83.98;0.65
13;2021-07-14;86.6;0.65
14;2021-06-15;84.48;0.7
15;2021-05-14;82.75;0.7
16;2021-04-15;85.2;0.7
17;2021-03-12;83.8;0.82
18;2021-02-12;81.83;0.62
19;2021-01-15;84.95;0.53
20;2020-12-14;81.31;0.51
21;2020-11-16;83.5;0.51
22;2020-10-15;83.91;0.54
23;2020-09-15;82.43;0.48
24;2020-08-14;80.0;0.49023567020798
25;2020-07-14;82.1;0.430983678121327
26;2020-06-15;82.49;0.369694796466745
27;2020-05-15;77.0;0.330897932150114
28;2020-04-14;77.5;0.390606697722023
29;2020-03-13;91.5;0.287023659085869
