;days;values;redimentos
0;2022-09-19;74.28;0.6
1;2022-08-16;73.38;0.6
2;2022-07-18;68.51;0.710042137
3;2022-06-17;69.91;0.6
4;2022-05-17;69.26;0.6
5;2022-04-19;74.05;0.6
6;2022-03-17;68.32;0.6
7;2022-02-16;71.31;0.6
8;2022-01-18;76.65;0.606
9;2021-12-16;72.35;0.6
10;2021-11-18;67.4;0.6
11;2021-10-19;79.61;0.6
12;2021-09-17;78.63;0.6
13;2021-08-17;73.2;0.6
14;2021-07-19;84.15;0.6
15;2021-06-17;86.0;0.6
16;2021-05-18;89.1;0.6
17;2021-04-19;93.29;0.6
18;2021-03-16;92.1;0.6
19;2021-02-18;95.35;0.6
20;2021-01-19;98.78;0.8572
21;2020-12-16;94.36;0.75
22;2020-11-18;97.61;0.75
23;2020-10-19;97.9;0.75
24;2020-09-17;96.41;0.6
25;2020-08-18;95.93;0.425993437
26;2020-07-16;101.2;0.6
27;2020-06-17;96.5;0.6
28;2020-05-19;99.9;0.6
29;2020-04-17;102.5;0.6
30;2020-03-17;97.9;0.7
31;2020-02-18;124.01;0.7
32;2020-01-17;133.78;0.864469213
33;2019-12-17;115.41;0.7
34;2019-11-19;108.51;0.65
35;2019-10-16;104.8;0.65
36;2019-09-17;104.96;0.6
37;2019-08-16;104.23;0.7
38;2019-07-17;105.01;0.784628
39;2019-06-18;106.61;1.0
40;2019-05-17;101.9;1.0
41;2019-04-16;102.0;0.8
42;2019-03-20;102.9;0.75
43;2019-02-18;101.7;0.65
44;2019-01-17;101.5;0.51682687
45;2018-12-18;98.88;0.65
46;2018-11-21;100.0;0.65
47;2018-10-17;96.17;0.586682732668965
48;2018-09-19;95.75;0.636069850072593
49;2018-08-16;98.89;0.65
50;2018-07-18;97.89;1.15416204110658
51;2018-06-18;93.0;0.8
52;2018-05-17;102.85;0.8
53;2018-04-17;100.01;0.8
54;2018-03-16;98.0;0.65
55;2018-02-20;97.01;0.65
56;2018-01-17;96.99;0.372755533
57;2017-12-18;91.92;0.340835946527867
58;2017-11-21;100.15;0.324962962597162
