;days;values;redimentos
0;2022-09-15;94.96;0.65
1;2022-07-14;84.17;0.696
2;2022-06-14;85.07;0.65
3;2022-05-13;86.72;0.65
4;2022-04-14;85.3;0.62
5;2022-03-15;84.0;0.6
6;2022-02-14;84.36;0.6
7;2022-01-14;95.35;0.848
8;2021-12-14;86.5;0.8
9;2021-11-16;87.23;0.76
10;2021-10-15;96.55;0.75
11;2021-09-15;101.46;0.7
12;2021-08-13;104.87;0.67
13;2021-07-15;106.3;0.76
14;2021-06-15;106.21;0.7
15;2021-05-14;107.83;0.64
16;2021-04-15;108.88;0.63
17;2021-03-12;107.81;0.62
18;2021-02-12;107.36;0.6
19;2021-01-15;108.84;0.682
20;2020-12-14;109.95;0.65
21;2020-11-16;111.22;0.65
22;2020-10-15;111.11;0.555
23;2020-09-15;113.75;0.76
24;2020-08-14;114.51;1.0
25;2020-06-15;115.0;0.514
26;2020-04-30;101.0;0.2762
