;days;values;redimentos
0;2022-09-15;57.64;0.45
1;2022-07-14;53.2;0.45
2;2022-06-14;61.08;0.45
3;2022-05-13;62.56;0.45
4;2022-04-14;67.31;0.5
5;2022-03-15;63.34;0.42
6;2022-02-14;69.01;0.46
7;2022-01-14;69.91;0.46
8;2021-12-14;72.42;0.46
9;2021-11-16;67.29;0.46
10;2021-10-15;75.42;0.45
11;2021-09-15;73.59;0.43
12;2021-08-13;77.77;0.42
13;2021-07-15;84.45;0.35
14;2021-06-15;81.51;0.32
15;2021-05-14;90.0;0.3
16;2021-04-15;88.08;0.5
17;2021-03-12;91.5;0.52
18;2021-02-12;96.97;0.52
19;2021-01-15;95.0;0.55
20;2020-12-14;92.43;0.55
21;2020-11-16;92.15;0.58
22;2020-10-15;93.8;0.58
23;2020-09-15;90.8;0.56
24;2020-08-14;89.72;0.53
25;2020-07-14;88.22;0.48
26;2020-06-15;87.7;0.42
27;2020-05-15;75.09;0.4
28;2020-04-15;79.12;0.365
29;2020-03-13;82.0;0.5014
30;2020-02-14;91.8;0.5014
31;2020-01-15;94.99;0.259
32;2019-12-13;91.99;0.2607
33;2019-11-14;87.0;0.269
