;days;values;redimentos
0;2022-09-15;139.63;0.72
1;2022-08-15;137.44;0.72
2;2022-07-15;125.0;0.72
3;2022-06-15;131.39;0.72
4;2022-05-13;120.89;0.6
5;2022-04-14;127.99;0.6
6;2022-03-15;121.85;0.55
7;2022-02-15;125.61;0.55
8;2022-01-14;127.09;0.55
9;2021-12-15;144.0;0.95
10;2021-11-12;144.97;0.95
11;2021-10-15;148.83;0.95
12;2021-09-15;143.71;0.95
13;2021-08-13;142.5;0.75
14;2021-07-15;149.45;0.75
15;2021-06-15;145.12;0.8
16;2021-05-14;141.2;0.8
17;2021-04-15;154.8;0.8
18;2021-03-15;147.29;0.8
19;2021-02-12;162.0;0.8
20;2021-01-15;163.47;0.8
21;2020-12-23;167.18;0.85
22;2020-11-13;172.29;0.85
23;2020-10-15;176.6;0.85
24;2020-09-15;176.18;0.85
25;2020-08-14;169.99;0.85
26;2020-07-15;172.72;0.8
27;2020-06-29;178.46;1.55
28;2020-05-15;165.03;0.75
29;2020-04-15;163.39;0.75
30;2020-03-13;179.55;0.8
31;2020-02-14;204.79;0.72
32;2020-01-15;222.93;0.72
33;2019-12-13;247.11;0.72
34;2019-11-14;191.0;0.72
35;2019-10-15;173.39;0.72
36;2019-09-13;176.23;0.68
37;2019-08-15;173.67;0.68
38;2019-07-15;173.4;0.57
39;2019-06-14;170.0;0.5
40;2019-05-15;166.05;0.5
41;2019-04-15;175.0;0.5
42;2019-03-15;177.3;0.5
43;2019-02-15;161.3;0.5
44;2019-01-15;168.9;0.5
45;2018-12-14;146.6;0.63
46;2018-11-14;150.49;0.63
47;2018-10-15;147.0;0.63
48;2018-09-14;145.41;0.63
49;2018-08-15;158.3;0.68
50;2018-07-13;155.0;0.73
51;2018-06-15;152.0;0.73
52;2018-05-15;177.5;0.7
53;2018-04-13;179.48;0.81
54;2018-03-26;177.99;0.3615
55;2018-03-15;176.95;0.7
56;2018-02-15;172.35;0.7
57;2018-01-15;172.0;0.7
58;2017-12-15;180.95;0.8
59;2017-11-14;188.11;1.2
60;2017-10-13;182.5;1.2
61;2017-09-15;179.0;1.2
62;2017-08-15;177.8;1.2
63;2017-07-14;176.55;1.2
64;2017-05-15;1.93;1.1
65;2017-04-13;1.74;1.1
66;2017-01-13;1.63;1.17
67;2016-10-14;1.78;1.17
68;2016-09-15;1.7;1.17
