;days;values;redimentos
0;2022-09-15;64.12;0.5018
1;2022-07-14;56.2;0.5018
2;2022-06-14;57.65;0.5018
3;2022-05-13;60.08;0.5018
4;2022-04-14;64.0;0.5018
5;2022-03-15;63.28;0.5018
6;2022-02-14;68.76;0.522
7;2022-01-14;70.38;0.5427
8;2021-12-14;67.7;0.58
9;2021-11-16;66.0;0.5295
10;2021-10-15;68.97;0.5108
11;2021-09-15;72.6;0.4424
12;2021-08-13;74.4;0.5
13;2021-07-15;81.0;0.6
14;2021-06-15;78.66;0.6
15;2021-05-14;74.44;0.6
16;2021-04-15;83.44;0.6
17;2021-03-12;85.93;0.72
18;2021-02-12;96.48;0.72
19;2021-01-15;95.5;0.72
20;2020-12-14;93.56;0.72
21;2020-11-16;93.2;0.72
22;2020-10-15;96.35;0.72
23;2020-09-15;96.8;0.72
24;2020-08-14;97.39;0.81
25;2020-07-14;98.85;0.81
26;2020-06-15;99.75;0.81
27;2020-05-15;88.53;0.81
28;2020-04-15;91.61;0.81
29;2020-03-13;100.4;0.8437
30;2020-02-14;103.0;0.81
31;2020-01-15;116.5;0.8112
32;2019-12-13;104.76;0.7509
33;2019-11-14;101.3;1.57
34;2019-10-14;102.5;1.0
35;2019-09-13;101.0;1.0
36;2019-08-14;98.5;0.8276
37;2019-07-17;98.0;0.2134
38;2019-06-18;98.0;0.4356
