;days;values;redimentos
0;2022-09-15;290.0;2.39
1;2022-07-14;306.99;3.58
2;2022-06-17;296.0;81.544
3;2022-06-17;296.0;86.15463719
4;2022-06-14;319.96;3.74
5;2022-05-13;379.99;4.26
6;2022-04-14;391.0;4.76
7;2022-04-07;390.03;200.0
8;2022-02-14;615.0;4.0
9;2021-12-14;600.01;4.5
10;2021-11-16;640.0;4.65
11;2021-10-21;655.0;65.12779003
12;2021-10-15;685.0;2.0
13;2021-08-13;701.74;4.8
14;2021-07-15;709.99;4.26
15;2021-06-15;714.98;4.1360971777458
16;2021-05-14;685.0;4.8
17;2021-05-05;677.0;175.0
18;2021-04-15;825.0;4.2
19;2021-01-15;765.0;5.0
20;2020-11-16;797.95;3.12
21;2020-10-15;800.0;3.12
22;2020-10-26;800.0;165.0
23;2020-09-15;915.0;3.12
24;2020-08-14;916.0;3.12
25;2020-07-14;900.0;3.12
26;2020-06-15;896.18;3.46
27;2020-03-13;980.0;3.53
28;2020-02-14;999.0;3.59474
29;2020-01-15;977.02;6.04758
30;2019-12-13;952.5;3.8038
31;2019-10-14;959.0;4.66
32;2019-09-13;957.44;5.0359
33;2019-08-14;958.6;5.678
34;2019-06-14;951.99;5.43
35;2019-04-12;950.0;4.688
36;2019-03-18;950.0;5.67
37;2019-01-15;950.01;4.69
38;2018-10-15;935.0;4.68110734735051
39;2018-09-17;959.5;5.66939
40;2018-06-14;915.0;5.17513
41;2018-04-13;942.99;5.32493
42;2018-03-14;935.0;4.6586
43;2018-01-15;914.5;5.1294
44;2017-12-14;905.02;5.67452214093936
45;2017-11-16;950.0;6.45929
46;2017-10-16;1004.99;6.41395
47;2017-09-15;1000.01;8.01452
48;2017-08-14;1011.0;8.00801
49;2017-07-14;1010.0;8.11678
50;2017-06-14;1040.0;9.25555
51;2017-05-15;1000.0;7.8887833265603
52;2017-04-17;1058.99;10.50415
53;2017-03-14;1061.0;8.66481
54;2017-01-13;1059.99;10.7138
55;2016-12-14;1019.0;10.3689
56;2016-11-16;1030.0;10.48317
57;2016-09-15;1017.0;12.136
