;days;values;redimentos
0;2022-09-16;80.28;0.75
1;2022-08-15;77.32;0.75
2;2022-07-15;75.53;0.75
3;2022-06-15;74.35;0.75
4;2022-05-16;75.79;0.75
5;2022-04-18;79.87;0.75
6;2022-03-16;76.7;0.75
7;2022-02-15;78.36;0.75
8;2022-01-17;82.74;0.75
9;2021-12-15;84.21;0.75
10;2021-11-17;77.95;0.75
11;2021-10-18;87.11;0.75
12;2021-09-16;92.6;0.75
13;2021-08-16;85.27;0.75
14;2021-07-16;92.7;0.72
15;2021-06-16;94.07;0.72
16;2021-05-17;94.94;0.72
17;2021-04-16;93.5;0.72
18;2021-03-16;94.01;0.72
19;2021-02-17;96.5;0.69
20;2021-01-18;93.83;0.69
21;2020-12-15;92.21;0.62
22;2020-11-17;91.81;0.62
23;2020-10-16;92.5;0.6
24;2020-09-16;90.0;0.58
25;2020-08-17;85.86;0.53
26;2020-07-15;83.27;0.46
27;2020-06-16;88.48;0.34
28;2020-05-18;78.99;0.33
29;2020-04-20;84.0;0.25
