;days;values;redimentos
0;2021-12-16;9.6;
1;2021-12-17;9.6;
2;2021-12-20;9.99;
3;2021-12-22;9.96;
4;2021-12-23;9.88;
5;2021-12-27;9.76;
6;2021-12-28;9.77;
7;2021-12-29;9.79;
8;2021-12-30;9.8;
9;2022-01-03;9.65;
10;2022-01-04;9.77;
11;2022-01-05;9.87;
12;2022-01-06;9.85;
13;2022-01-07;9.76;
14;2022-01-10;9.85;
15;2022-01-11;9.9;
16;2022-01-12;9.74;
17;2022-01-13;9.81;
18;2022-01-14;9.85;
19;2022-01-17;9.8;
20;2022-01-18;9.98;
21;2022-01-19;9.98;
22;2022-01-20;9.88;
23;2022-01-21;9.92;
24;2022-01-24;9.83;
25;2022-01-25;9.85;
26;2022-01-26;10.0;
27;2022-01-27;9.99;
28;2022-01-28;9.83;
29;2022-01-31;9.88;
30;2022-02-01;9.67;
31;2022-02-02;9.91;
32;2022-02-03;10.14;
33;2022-02-04;10.01;
34;2022-02-07;9.98;
35;2022-02-08;9.95;
36;2022-02-09;9.87;
37;2022-02-10;9.99;
38;2022-02-11;10.05;
39;2022-02-14;9.86;
40;2022-02-15;9.95;
41;2022-02-16;9.98;
42;2022-02-17;10.02;
43;2022-02-18;10.05;
44;2022-02-21;10.04;
45;2022-02-22;10.03;
46;2022-02-23;9.98;
47;2022-02-24;9.95;
48;2022-02-25;10.01;
49;2022-03-02;9.91;
50;2022-03-03;9.96;
51;2022-03-04;9.97;
52;2022-03-07;9.97;
53;2022-03-08;9.95;
54;2022-03-09;9.95;
55;2022-03-10;9.94;
56;2022-03-11;9.97;
57;2022-03-14;9.95;
58;2022-03-15;9.95;
59;2022-03-16;9.95;
60;2022-03-17;9.97;
61;2022-03-18;9.95;
62;2022-03-21;9.98;
63;2022-03-22;9.98;
64;2022-03-23;10.0;
65;2022-03-24;10.01;
66;2022-03-25;10.1;
67;2022-03-28;10.0;
68;2022-03-29;10.0;
69;2022-03-30;10.1;
70;2022-03-31;10.17;
71;2022-04-01;10.07;
72;2022-04-04;10.07;
73;2022-04-05;9.98;
74;2022-04-06;9.99;
75;2022-04-07;10.01;
76;2022-04-08;10.04;
77;2022-04-11;10.0;
78;2022-04-12;9.99;
79;2022-04-13;9.98;
80;2022-04-14;10.07;
81;2022-04-18;10.05;
82;2022-04-19;10.1;
83;2022-04-20;10.19;
84;2022-04-22;10.25;
85;2022-04-25;10.08;
86;2022-04-26;10.15;
87;2022-04-27;10.25;
88;2022-04-28;10.12;
89;2022-04-29;10.25;
90;2022-05-02;10.02;
91;2022-05-03;10.17;
92;2022-05-04;10.18;
93;2022-05-05;10.09;
94;2022-05-06;10.11;
95;2022-05-09;10.1;
96;2022-05-10;10.15;
97;2022-05-11;10.08;
98;2022-05-12;10.06;
99;2022-05-13;10.09;
100;2022-05-16;10.01;
101;2022-05-17;10.13;
102;2022-05-18;10.18;
103;2022-05-19;10.09;
104;2022-05-20;10.13;
105;2022-05-23;10.05;
106;2022-05-24;10.05;
107;2022-05-25;10.03;
108;2022-05-26;10.06;
109;2022-05-27;10.04;
110;2022-05-30;10.0;
111;2022-05-31;9.98;
112;2022-06-01;9.98;
113;2022-06-02;9.96;
114;2022-06-06;10.02;
115;2022-06-07;10.03;
116;2022-06-09;10.0;
117;2022-06-10;9.96;
118;2022-06-13;9.89;
119;2022-06-14;9.85;
120;2022-06-15;9.78;
121;2022-06-17;9.79;
122;2022-06-20;9.98;
123;2022-06-21;9.92;
124;2022-06-22;9.88;
125;2022-06-23;9.9;
126;2022-06-27;9.92;
127;2022-06-28;9.97;
128;2022-06-29;10.0;
129;2022-06-30;10.07;
130;2022-07-04;9.97;
131;2022-07-05;10.14;
132;2022-07-06;10.05;
133;2022-07-07;10.25;
134;2022-07-08;10.15;
135;2022-07-11;10.1;
136;2022-07-12;9.99;
137;2022-07-13;10.17;
138;2022-07-14;10.21;
139;2022-07-15;10.26;
140;2022-07-18;10.13;
141;2022-07-19;10.28;
142;2022-07-20;10.21;
143;2022-07-21;10.16;
144;2022-07-22;10.17;
145;2022-07-25;10.22;
146;2022-07-26;10.2;
147;2022-07-27;10.17;
148;2022-07-28;10.17;
149;2022-08-02;10.24;
150;2022-08-03;10.24;
151;2022-08-04;10.27;
152;2022-08-05;10.34;
153;2022-08-08;10.26;
154;2022-08-09;10.35;
155;2022-08-10;10.57;
156;2022-08-11;10.36;
157;2022-08-15;10.32;
158;2022-08-16;10.27;
159;2022-08-17;10.2;
160;2022-08-18;10.23;
161;2022-08-19;10.2;
162;2022-08-22;10.27;
163;2022-08-23;10.24;
164;2022-08-24;10.24;
165;2022-08-25;10.22;
166;2022-08-26;10.25;
167;2022-08-29;10.25;
168;2022-08-30;10.28;
169;2022-08-31;10.32;
170;2022-09-01;10.22;
171;2022-09-02;10.35;
172;2022-09-05;10.28;
173;2022-09-06;10.33;
174;2022-09-08;10.28;
175;2022-09-12;10.4;
176;2022-09-13;10.56;
177;2022-09-14;10.34;
178;2022-09-15;10.35;
179;2022-09-16;10.38;
180;2022-09-19;10.4;
181;2022-09-20;10.1;
