;days;values;redimentos
0;2022-09-08;105.88;1.25
1;2022-08-05;100.91;1.25
2;2022-07-07;99.42;1.25
3;2022-06-07;101.73;1.25
4;2022-05-06;102.31;1.25
5;2022-04-07;102.74;1.25
6;2022-03-08;100.2;1.25
7;2022-02-07;102.27;1.25
8;2022-01-07;101.7;1.25
9;2021-12-07;97.5;1.25
10;2021-11-08;94.81;0.95
11;2021-10-07;97.94;0.95
12;2021-09-08;97.11;0.9
13;2021-08-06;96.5;0.9
14;2021-07-07;93.61;0.77
15;2021-06-08;100.52;0.5
16;2021-05-07;106.64;0.7
17;2021-04-08;103.0;0.8
18;2021-03-05;103.5;0.85
19;2021-02-05;108.25;0.8
20;2020-12-30;105.16;0.91
21;2020-11-30;100.0;0.65
