;days;values;redimentos
0;2022-09-15;97.35;0.76
1;2022-08-15;91.88;0.76
2;2022-07-15;87.6;0.76
3;2022-06-15;89.28;0.76
4;2022-05-13;87.9;0.76
5;2022-04-14;92.85;0.76
6;2022-03-15;86.22;0.76
7;2022-02-15;87.95;0.76
8;2022-01-14;88.19;0.76
9;2021-12-15;85.46;0.76
10;2021-11-12;84.71;0.76
11;2021-10-15;88.21;0.72
12;2021-09-15;90.04;0.62
13;2021-08-13;89.9;0.62
14;2021-07-15;94.15;0.55
15;2021-06-15;94.98;0.6
16;2021-05-14;95.5;0.6
17;2021-04-15;97.28;0.6
18;2021-03-15;98.15;0.6
19;2021-02-12;102.32;0.6
20;2021-01-15;103.01;0.6
21;2020-12-15;98.97;0.6
22;2020-11-13;100.94;0.59
23;2020-10-15;100.61;0.55
24;2020-09-15;101.3;0.55
25;2020-08-14;101.39;0.5
26;2020-07-15;106.5;0.44
27;2020-06-15;103.51;0.44
28;2020-05-15;91.39;0.46
29;2020-04-15;98.0;0.46
30;2020-03-13;95.8;0.52
31;2020-02-14;118.0;0.52
32;2020-01-15;142.95;0.57
33;2019-12-13;120.96;0.57
34;2019-11-14;119.93;0.57
35;2019-10-14;117.35;0.64
36;2019-09-13;117.75;0.64
37;2019-08-14;115.0;0.64
38;2019-07-15;110.29;0.64
39;2019-06-14;114.8;0.64
40;2019-05-15;104.26;0.64
41;2019-04-12;110.48;0.64
42;2019-03-18;109.05;0.64
43;2019-02-14;106.9;0.64
44;2019-01-15;107.5;0.64
45;2018-12-14;104.0;0.64
46;2018-11-16;94.98;0.64
47;2018-10-15;93.6;0.64
48;2018-09-28;93.0;0.64
49;2018-09-17;91.0;0.64
50;2018-08-14;91.8;0.64
51;2018-07-16;83.65;0.63
52;2018-06-14;85.0;0.63
53;2018-05-15;97.0;0.62
54;2018-04-13;99.94;0.62
55;2018-03-14;102.29;0.62
56;2018-02-15;98.0;0.62
57;2018-01-15;95.46;0.66
58;2017-12-14;96.0;0.6
59;2017-11-16;98.65;0.58
60;2017-10-16;93.35;0.58
61;2017-09-15;91.65;0.58
62;2017-08-14;92.5;0.55
63;2017-07-14;87.0;0.6
64;2017-05-15;88.3;0.52
65;2017-04-17;84.0;0.52
66;2017-03-14;92.2;0.52
67;2017-02-14;92.5;0.52
68;2017-01-13;84.22;0.7
69;2016-12-14;75.0;0.66
70;2016-11-16;74.0;0.66
71;2016-10-17;71.08;0.55
72;2016-09-15;71.23;0.55
