;days;values;redimentos
0;2022-09-08;42.69;0.4
1;2022-08-05;41.07;0.4
2;2022-07-07;42.21;0.4
3;2022-06-07;43.54;0.4
4;2022-05-06;42.94;0.4
5;2022-04-07;44.33;0.4
6;2022-03-08;43.95;0.4
7;2022-02-07;44.95;0.4
8;2022-01-07;44.5;0.4
9;2021-12-07;43.1;0.4
10;2021-11-08;41.37;1.13
11;2021-11-08;41.37;1.56
12;2021-10-07;49.5;0.36
13;2021-09-08;56.77;0.6
14;2021-08-09;57.01;0.6
15;2021-07-08;55.7;2.52
16;2021-06-08;50.43;0.6
17;2021-05-10;54.69;0.58
18;2021-04-08;59.97;10.7
19;2021-04-08;59.97;5.15
20;2021-03-08;77.01;0.88
21;2021-03-08;77.01;0.55
22;2021-02-08;83.5;0.86
23;2021-02-08;83.5;0.55
24;2021-01-08;82.92;0.39
25;2021-01-08;82.92;1.24
26;2020-12-08;82.79;0.7
27;2020-12-08;82.79;0.54
28;2020-11-10;85.45;0.75
29;2020-11-10;85.45;0.54
30;2020-10-08;88.99;0.54
31;2020-10-08;88.99;0.75
32;2020-09-09;84.27;0.6
33;2020-09-09;84.27;0.75
34;2020-08-10;75.57;0.75
35;2020-08-10;75.57;0.87
36;2020-07-08;77.77;0.75
37;2020-07-08;77.77;0.43
38;2020-06-08;69.22;0.44
39;2020-06-08;69.22;0.43
40;2020-05-11;68.3;0.56
41;2020-05-11;68.3;0.44
42;2020-04-08;63.38;0.56
43;2020-04-08;63.38;0.75
44;2020-03-09;80.0;0.56
45;2020-03-09;80.0;0.75
46;2020-02-10;83.22;0.56
47;2020-02-10;83.22;0.74
48;2020-01-09;87.3;0.73
49;2020-01-09;87.3;0.55
50;2019-12-09;105.6;1.4
51;2019-12-09;105.6;3.66
52;2019-11-08;101.01;0.61
53;2019-10-08;88.59;0.61
54;2019-09-09;87.6;0.61
55;2019-08-08;87.5;0.61
56;2019-07-08;87.99;0.61
57;2019-06-10;87.8;0.61
58;2019-05-08;87.6;0.61
59;2019-04-05;88.0;0.61
60;2019-03-11;82.5;0.61
61;2019-02-07;80.0;0.61
62;2019-01-08;78.3;0.61
63;2018-12-07;73.7;0.61
64;2018-11-08;73.4;0.55
65;2018-10-05;71.2;0.55
66;2018-09-10;72.25;0.55
67;2018-08-07;71.59;0.55
68;2018-07-06;72.5;0.55
69;2018-06-07;71.9;0.55
70;2018-05-08;77.75;0.55
71;2018-04-06;78.0;0.55
72;2018-03-07;75.78;0.535
73;2018-02-07;75.49;0.535
74;2018-01-08;75.5;0.535
75;2017-12-07;73.98;0.535
76;2017-11-08;72.26;0.535
77;2017-08-07;69.93;0.535
78;2017-07-07;70.65;0.535
79;2017-06-07;71.82;0.535
80;2017-05-08;68.19;0.535
81;2017-04-07;68.99;0.535
82;2017-03-07;67.5;0.535
83;2017-02-07;63.2;0.535
84;2017-01-06;60.49;0.535
85;2016-12-07;56.38;0.535
86;2016-11-08;61.45;0.535
87;2016-10-07;58.89;0.83333333
88;2016-09-08;56.89;0.83333333
