;days;values;redimentos
0;2022-09-15;83.25;0.49
1;2022-07-14;69.38;0.5
2;2022-06-14;68.16;0.5
3;2022-05-13;68.48;0.49
4;2022-04-14;68.9;0.49
5;2022-03-15;67.08;0.47
6;2022-02-14;73.0;0.47
7;2022-01-14;73.54;0.51
8;2021-12-14;72.09;0.48
9;2021-11-16;69.2;0.48
10;2021-10-15;73.91;0.48
11;2021-09-15;73.18;0.45
12;2021-08-13;78.49;0.38
13;2021-07-15;79.31;0.42
14;2021-06-15;78.88;0.45
15;2021-05-14;79.17;0.45
16;2021-04-15;80.0;0.45
17;2021-03-12;84.92;0.45
18;2021-02-12;88.06;0.5
19;2021-01-15;89.73;0.52
20;2020-12-14;88.35;0.5
21;2020-11-16;88.9;0.47
22;2020-10-15;90.26;0.5
23;2020-09-15;91.8;0.5
24;2020-08-17;89.25;0.52
25;2020-07-15;92.01;0.5
26;2020-06-15;93.5;0.5
27;2020-05-15;84.85;0.49
28;2020-04-14;85.1;0.49
29;2020-03-13;97.3;0.56
30;2020-02-14;106.0;0.55
31;2020-01-15;111.89;0.55
32;2019-12-13;104.0;0.34
33;2019-11-14;100.0;0.27
