;days;values;redimentos
0;2021-12-30;9.99;
1;2022-01-03;9.65;
2;2022-01-04;9.88;
3;2022-01-05;9.43;
4;2022-01-06;9.89;
5;2022-01-07;9.89;
6;2022-01-10;10.09;
7;2022-01-11;9.98;
8;2022-01-12;10.02;
9;2022-01-13;10.35;
10;2022-01-14;10.3;
11;2022-01-17;10.4;
12;2022-01-18;10.2;
13;2022-01-19;10.31;
14;2022-01-20;10.23;
15;2022-01-21;10.25;
16;2022-01-24;10.3;
17;2022-01-25;10.26;
18;2022-01-26;10.28;
19;2022-01-27;10.22;
20;2022-01-28;10.64;
21;2022-01-31;10.8;
22;2022-02-01;10.77;
23;2022-02-02;10.8;
24;2022-02-03;10.33;
25;2022-02-04;10.75;
26;2022-02-07;10.84;
27;2022-02-08;10.4;
28;2022-02-09;10.41;
29;2022-02-10;10.6;
30;2022-02-11;10.9;
31;2022-02-14;10.5;
32;2022-02-15;10.9;
33;2022-02-16;10.6;
34;2022-02-17;10.46;
35;2022-02-18;10.45;
36;2022-02-21;10.4;
37;2022-02-22;10.35;
38;2022-02-23;10.33;
39;2022-02-24;10.28;
40;2022-02-25;10.12;
41;2022-03-02;10.52;
42;2022-03-03;10.53;
43;2022-03-04;10.25;
44;2022-03-07;10.31;
45;2022-03-08;10.54;
46;2022-03-09;10.53;
47;2022-03-10;10.45;
48;2022-03-11;10.47;
49;2022-03-14;10.18;
50;2022-03-15;10.16;
51;2022-03-16;10.2;
52;2022-03-17;10.25;
53;2022-03-18;10.54;
54;2022-03-21;10.38;
55;2022-03-22;10.73;
56;2022-03-23;10.78;
57;2022-03-24;10.39;
58;2022-03-25;10.72;
59;2022-03-28;10.71;
60;2022-03-29;10.99;
61;2022-03-30;10.99;
62;2022-03-31;10.98;
63;2022-04-01;11.13;
64;2022-04-04;11.0;
65;2022-04-05;11.03;
66;2022-04-06;11.35;
67;2022-04-07;11.58;
68;2022-04-08;11.79;
69;2022-04-11;11.41;
70;2022-04-12;10.75;
71;2022-04-13;11.08;
72;2022-04-14;10.4;
73;2022-04-18;10.13;
74;2022-04-19;10.22;
75;2022-04-20;10.14;
76;2022-04-22;10.18;
77;2022-04-25;10.11;
78;2022-04-26;10.08;
79;2022-04-27;10.29;
80;2022-04-28;10.26;
81;2022-04-29;10.46;
82;2022-05-02;10.48;
83;2022-05-03;10.35;
84;2022-05-04;10.17;
85;2022-05-05;10.36;
86;2022-05-06;10.53;
87;2022-05-09;10.82;
88;2022-05-10;10.75;
89;2022-05-11;10.76;
90;2022-05-12;10.53;
91;2022-05-13;10.75;
92;2022-05-16;10.62;
93;2022-05-17;10.63;
94;2022-05-18;10.75;
95;2022-05-19;10.85;
96;2022-05-20;10.84;
97;2022-05-23;11.17;
98;2022-05-24;11.16;
99;2022-05-25;11.3;
100;2022-05-26;11.5;
101;2022-05-27;11.5;
102;2022-05-30;11.23;
103;2022-05-31;11.14;
104;2022-06-01;11.22;
105;2022-06-02;10.92;
106;2022-06-06;11.19;
107;2022-06-07;10.67;
108;2022-06-09;11.08;
109;2022-06-10;11.14;
110;2022-06-13;10.83;
111;2022-06-14;10.45;
112;2022-06-15;10.1;
113;2022-06-17;10.15;
114;2022-06-20;10.09;
115;2022-06-21;10.13;
116;2022-06-22;10.08;
117;2022-06-23;10.07;
118;2022-06-27;9.99;
119;2022-06-28;9.99;
120;2022-06-29;9.98;
121;2022-06-30;9.99;
122;2022-07-04;10.01;
123;2022-07-05;10.0;
124;2022-07-06;10.09;
125;2022-07-07;10.05;
126;2022-07-08;10.05;
127;2022-07-11;10.03;
128;2022-07-12;10.07;
129;2022-07-13;10.02;
130;2022-07-14;10.04;
131;2022-07-15;10.05;
132;2022-07-18;10.11;
133;2022-07-19;10.16;
134;2022-07-20;10.16;
135;2022-07-21;10.18;
136;2022-07-22;10.19;
137;2022-07-25;10.25;
138;2022-07-26;10.25;
139;2022-07-27;10.2;
140;2022-07-28;10.17;
141;2022-08-02;10.26;
142;2022-08-03;10.29;
143;2022-08-04;10.34;
144;2022-08-05;10.4;
145;2022-08-08;10.37;
146;2022-08-09;10.35;
147;2022-08-10;10.35;
148;2022-08-11;10.22;
149;2022-08-15;10.16;
150;2022-08-16;10.17;
151;2022-08-17;10.2;
152;2022-08-18;10.2;
153;2022-08-19;10.19;
154;2022-08-22;10.19;
155;2022-08-23;10.18;
156;2022-08-24;10.19;
157;2022-08-25;10.17;
158;2022-08-26;10.16;
159;2022-08-29;10.2;
160;2022-08-30;10.2;
161;2022-08-31;10.29;
162;2022-09-01;10.31;
163;2022-09-02;10.38;
164;2022-09-05;10.39;
165;2022-09-06;10.38;
166;2022-09-08;10.32;
167;2022-09-12;10.29;
168;2022-09-13;10.16;
169;2022-09-14;10.04;
170;2022-09-15;10.03;
171;2022-09-16;10.01;
172;2022-09-19;10.02;
173;2022-09-20;10.04;
