;days;values;redimentos
0;2022-09-20;89.94;1.0
1;2022-08-17;92.24;1.0
2;2022-07-19;95.88;1.42
3;2022-06-20;99.35;1.75
4;2022-05-18;97.8;1.5
5;2022-04-20;100.24;1.4
6;2022-03-18;99.7;1.2
7;2022-02-17;99.75;1.28
8;2022-01-19;100.49;1.65
9;2021-12-17;97.47;1.55
10;2021-11-19;98.61;1.25
11;2021-10-20;99.42;1.3
12;2021-09-20;99.65;0.91
13;2021-08-18;99.97;1.2
14;2021-07-20;101.02;0.95
15;2021-06-18;101.52;1.04
16;2021-05-19;104.0;0.93
17;2021-04-20;104.2;0.85
18;2021-03-17;112.17;1.15
19;2021-02-19;114.45;1.16
20;2021-01-20;109.8;1.54
21;2020-12-17;102.99;1.25
22;2020-11-19;99.3;1.0
23;2020-10-20;100.0;0.85
24;2020-09-18;100.99;0.75
25;2020-08-19;99.0;0.7
26;2020-07-17;99.3;0.657781694
27;2020-06-18;99.5;0.75
28;2020-05-20;94.0;1.04
