;days;values;redimentos
0;2022-09-20;9.91;0.13
1;2022-08-17;100.49;0.13
2;2022-07-19;99.5;0.119
3;2022-06-20;98.14;0.13
4;2022-05-18;98.21;0.12
5;2022-04-20;101.2;0.12
6;2022-03-18;100.61;0.12
7;2022-02-14;100.8;0.11
8;2022-01-19;99.2;0.092
9;2021-12-17;96.5;0.08
10;2021-11-19;95.99;0.068
11;2021-10-20;95.67;0.065
12;2021-09-20;95.92;0.065
13;2021-08-13;91.99;0.065
14;2021-07-20;93.65;0.065
15;2021-06-18;88.8;0.05
16;2021-05-19;91.15;0.05
17;2021-04-20;93.99;0.05
18;2021-03-17;91.4;0.045
19;2021-02-19;87.53;0.045
20;2021-01-20;84.62;0.0501254423
21;2020-12-17;83.46;0.039
22;2020-11-19;86.67;0.041
23;2020-10-20;88.13;0.045
24;2020-09-18;85.0;0.041
25;2020-08-19;82.0;0.045
26;2020-07-17;82.99;0.0484022495
27;2020-06-18;90.75;0.047
28;2020-05-20;84.2;0.05
29;2020-04-20;81.49;0.053
30;2020-03-18;73.24;0.055
31;2020-02-19;103.09;0.06
32;2020-01-20;111.99;0.0657369404
33;2019-12-18;105.49;0.06
34;2019-11-21;101.58;0.069
35;2019-10-17;102.58;0.067
36;2019-09-18;102.0;0.07
37;2019-08-19;102.0;0.085
38;2019-07-18;105.21;0.0740897222
39;2019-06-19;102.33;0.08
40;2019-05-20;103.38;0.079
41;2019-04-17;100.0;0.072
42;2019-03-21;100.35;0.066
43;2019-02-19;100.7;0.1
44;2018-12-19;100.0;0.072
45;2018-11-22;100.0;0.06954
46;2018-09-20;100.15;0.06
