;days;values;redimentos
0;2022-09-15;7.51;0.06
1;2022-07-14;6.92;0.06
2;2022-06-14;7.03;0.06
3;2022-05-13;7.01;0.06
4;2022-04-14;70.56;0.066
5;2022-03-15;76.71;0.066
6;2022-02-14;81.9;0.066
7;2022-01-14;76.43;0.066
8;2021-12-14;74.29;0.063
9;2021-11-16;73.81;0.063
10;2021-10-15;78.7;0.063
11;2021-09-15;80.16;0.063
12;2021-08-13;84.09;0.063
13;2021-07-15;89.06;0.065
14;2021-06-15;86.71;0.06
15;2021-05-14;88.59;0.06
16;2021-04-15;86.75;0.06
17;2021-03-12;91.5;0.06
18;2021-02-12;93.9;0.06
19;2021-01-15;93.99;0.06
20;2020-12-14;92.52;0.06
21;2020-11-16;97.29;0.065
22;2020-10-15;96.51;0.065
23;2020-09-15;97.82;0.065
24;2020-08-14;97.93;0.069
25;2020-07-14;99.4;0.065
