;days;values;redimentos
0;2022-09-15;49.7;0.34
1;2022-07-14;42.07;0.34
2;2022-06-14;46.71;0.34
3;2022-05-13;47.86;0.34
4;2022-04-14;51.44;0.34
5;2022-03-15;47.43;0.34
6;2022-02-14;48.02;0.34
7;2022-01-14;54.43;0.5
8;2021-12-14;55.32;0.55
9;2021-11-16;57.94;0.54
10;2021-10-15;60.28;0.65
11;2021-09-15;59.0;0.58
12;2021-08-13;57.65;0.46
13;2021-07-15;59.88;0.45
14;2021-06-15;60.0;0.45
15;2021-05-14;60.19;0.45
16;2021-04-15;60.54;0.45
17;2021-03-12;61.89;0.45
18;2021-02-12;63.46;0.45
19;2021-01-15;62.84;0.42
20;2020-12-14;58.42;0.35
21;2020-11-16;59.11;0.35
22;2020-10-15;60.7;0.35
23;2020-09-15;59.14;0.35
24;2020-08-14;58.4;0.36
25;2020-07-14;60.5;0.42
26;2020-06-15;59.34;0.35
27;2020-05-15;49.89;0.35
28;2020-04-14;50.67;0.37
29;2020-03-13;57.55;0.37
30;2020-02-14;69.5;0.37
31;2020-01-15;67.56;0.36
