;days;values;redimentos
0;2022-09-15;106.05;0.59
1;2022-07-14;99.0;0.53
2;2022-06-14;98.0;0.61
3;2022-05-13;95.98;0.62
4;2022-04-14;95.05;0.53
5;2022-03-15;94.33;0.53
6;2022-02-14;94.17;0.51
7;2022-01-14;93.5;0.53
8;2021-12-14;94.01;0.5
9;2021-11-16;98.2;0.5
10;2021-10-15;100.98;0.47
11;2021-09-15;93.2;0.45
12;2021-08-13;90.42;0.45
13;2021-07-14;100.01;0.43545528
14;2021-06-15;97.49;0.41
15;2021-05-14;99.0;0.41
16;2021-04-15;101.99;0.45760448
17;2021-03-12;102.55;0.4305985
18;2021-02-12;105.5;0.40249404
19;2021-01-15;102.31;0.42
20;2020-12-14;103.0;0.41132398
21;2020-11-16;105.5;0.45593673
22;2020-10-15;106.01;0.46948161
23;2020-09-15;104.9;0.48958118
24;2020-08-14;105.15;0.47254206
25;2020-07-14;105.5;0.44909703
26;2020-06-15;107.0;0.62123883
27;2020-05-15;100.9;0.26787311
28;2020-04-15;102.0;0.41198967
29;2020-03-13;110.01;0.46945326
30;2020-02-14;116.02;0.45330377
31;2020-01-15;122.35;0.42947757
32;2019-12-13;107.3;0.4860329
33;2019-11-14;108.14;0.46074917
34;2019-10-14;102.0;0.48798941
35;2019-09-13;106.4;0.66344228
36;2019-08-14;107.5;0.3910151
37;2019-07-15;101.1;0.38742599
38;2019-06-14;101.2;0.4811834
39;2019-05-16;97.72;0.31815904
40;2019-04-12;99.95;0.40503259
41;2019-03-18;94.99;0.3887787
42;2019-02-14;96.99;0.3764981
43;2019-01-15;95.09;0.29946487
44;2018-12-14;88.0;0.4377325128
45;2018-11-16;88.0;0.528483
46;2018-10-15;82.05;0.310292
47;2018-09-17;80.7;0.338663
48;2018-08-14;85.0;0.358039
49;2018-07-13;80.25;0.388409
50;2018-06-14;80.08;0.317205
51;2018-05-15;92.0;0.402935
52;2018-04-13;91.0;0.395942
53;2018-03-14;88.8;0.284643
54;2018-02-16;88.3;0.317695
55;2018-01-15;88.49;0.36432
56;2017-12-14;87.8;0.384397
57;2017-11-16;88.2;0.409173
58;2017-10-16;89.99;0.369928
59;2017-09-15;86.3;0.373818
60;2017-08-14;82.6;0.417083
61;2017-07-14;80.97;0.486946
62;2017-06-14;79.7;0.347678
63;2017-05-15;82.41;0.442638
64;2017-04-17;81.97;0.395026
65;2017-03-14;81.0;0.383674
66;2017-02-14;77.56;0.371428
67;2017-01-13;74.85;0.587989
68;2016-12-14;68.0;0.397982
69;2016-11-16;73.74;0.480524
70;2016-10-17;73.5;0.469523
71;2016-09-15;72.9;0.527443
