;days;values;redimentos
0;2022-09-15;94.99;1.1
1;2022-08-15;95.49;1.1
2;2022-07-15;96.0;1.21
3;2022-06-15;99.27;1.25
4;2022-05-13;99.0;1.2
5;2022-04-14;102.82;1.15
6;2022-03-15;102.9;1.25
7;2022-02-15;104.05;1.24
8;2022-01-14;104.8;1.1925530771
9;2021-12-15;103.8;1.25
10;2021-11-12;101.3;1.2
11;2021-10-15;109.99;1.1
12;2021-09-15;108.8;1.02
13;2021-08-13;107.2;1.07
14;2021-07-15;111.86;1.02
15;2021-06-15;111.94;1.04
16;2021-05-14;112.0;0.9
17;2021-04-15;114.2;0.9
18;2021-03-15;114.21;0.91
19;2021-02-12;114.98;0.9
20;2021-01-15;114.19;0.9
21;2020-12-15;108.84;0.79
22;2020-11-13;106.9;0.66
23;2020-10-15;104.63;0.61
24;2020-09-15;104.0;0.51
25;2020-08-14;104.65;0.61
26;2020-07-15;109.62;0.96
27;2020-06-15;105.26;0.73
28;2020-05-15;109.28;0.71
29;2020-04-15;111.5;0.74
30;2020-03-13;110.4;0.81
31;2020-02-14;131.07;0.78
32;2020-01-15;141.06;0.77
33;2019-12-13;130.0;0.64
34;2019-11-14;128.4;0.72
35;2019-10-15;122.8;0.71
36;2019-09-13;122.38;0.85
37;2019-08-15;123.65;0.94
38;2019-07-15;141.6;1.02
39;2019-06-14;137.5;1.05
40;2019-05-15;136.0;1.08
41;2019-04-15;134.72;0.94
42;2019-03-15;129.0;0.99
43;2019-02-15;126.17;1.02
44;2019-01-15;119.3;1.01
45;2019-01-15;119.3;1.01
46;2018-12-14;114.0;1.03
47;2018-11-14;112.5;1.15
48;2018-10-15;111.26;0.98
49;2018-09-14;108.12;0.98
50;2018-08-15;105.79;0.86
51;2018-07-13;106.99;0.81
52;2018-06-15;103.05;0.74
53;2018-05-15;105.61;0.74
54;2018-04-13;106.06;0.69
55;2018-03-15;106.81;0.62
56;2018-02-15;109.0;0.7
57;2018-01-15;111.0;0.7
58;2017-12-15;107.4;0.7
59;2017-11-14;105.42;0.72
60;2017-09-15;111.7;0.78
61;2017-08-15;113.45;0.81
62;2017-07-14;113.5;0.96
63;2017-06-14;114.2;0.98
64;2017-05-15;112.2;1.0
65;2017-03-15;126.5;1.02989
66;2017-02-15;125.79;1.147382
67;2017-01-13;123.7;1.17528
68;2016-12-15;121.44;1.184198
69;2016-11-14;126.0;1.333372
70;2016-10-14;122.9;1.326263
71;2016-09-15;117.7;1.375502
