;days;values;redimentos
0;2022-08-08;77.89;0.6
1;2022-07-08;78.38;0.63
2;2022-05-09;78.5;0.61
3;2022-04-08;79.28;0.59
4;2022-03-09;78.89;0.57
5;2022-02-08;77.8;0.57
6;2022-01-10;79.01;0.61
7;2021-12-08;76.0;0.53
8;2021-11-09;79.99;0.53
9;2021-10-08;84.36;0.76
10;2021-09-09;80.49;0.76
11;2021-08-09;80.7;0.52
12;2021-07-08;75.51;0.525
13;2021-06-09;74.4;0.35
14;2021-05-10;74.98;0.1
15;2021-04-09;70.45;0.1
16;2021-03-08;72.0;0.1
17;2021-02-08;79.75;0.1
18;2021-01-11;82.0;0.159
19;2020-12-08;82.1;0.12
20;2020-11-10;85.75;0.279
21;2020-03-09;109.03;0.7
22;2020-02-10;116.33;0.65
23;2020-01-09;121.0;0.65
24;2019-12-09;108.77;0.62
25;2019-11-08;102.5;0.62
26;2019-10-08;100.0;0.615
27;2019-09-09;100.0;0.615
28;2019-08-08;100.0;0.615
29;2019-07-08;99.87;0.61
30;2019-06-10;99.95;0.6
31;2019-05-09;100.03;0.6
32;2019-04-08;104.9;0.6
33;2019-03-12;104.0;0.6538
34;2019-02-08;102.75;0.7677
